Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.003002
0.433,-0.002611
0.019,-0.002481
0.322,0.00149
0.332,-0.007275
0.056,0.004777
0.301,0.008708
0.229,-0.006743
0.331,0.00025
0.132,-0.005229
0.137,0.008756
0.423,0.00199
0.335,0.006565
0.025,0.011479
0.464,-0.000859
0.281,-0.001107
0.247,0.00054
0.237,0.003311
0.117,-0.006693
0.042,-0.001267
0.22,0.00808
0.176,0.006211
0.32,0.003907
0.153,-0.003764
0.231,-0.004757
0.227,-0.004487
0.417,0.006533
0.203,-0.002862
0.126,-0.005138
0.329,0.007919
0.031,-0.001668
0.113,-0.002762
0.47,0.017811
0.271,-0.003143
0.14,-0.002461
0.057,0.002103
0.192,-0.005419
0.024,0.000508
0.017,0.007677
0.265,0.005002
0.066,-0.003183
0.208,-0.003263
0.479,-0.003734
0.094,0.000282
0.253,-0.004777
0.266,-0.00228
0.023,0.001877
0.222,0.006452
0.261,-0.000566
0.426,-0.004085
0.005,0.008805
0.116,0.011801
0.045,0.000717
0.016,0.011705
0.462,-0.002501
0.357,-0.001979
0.003,0.000926
0.218,-0.003072
0.405,-0.002721
0.06,-0.003313
0.11,-0.005058
0.318,-0.00582
0.428,-0.003694
0.029,-0.001327
0.437,0.008289
0.471,-0.001157
0.026,-0.001919
0.007,0.005019
0.453,7.25e-05
0.108,0.006549
0.037,0.008466
0.157,0.002666
0.489,-0.00911
0.118,-0.002862
0.114,0.001442
0.175,0.001345
0.373,0.001941
0.181,-0.004136
0.144,0.00083
0.369,0.004519
0.39,0.002618
0.195,0.00062
0.404,0.003649
0.275,0.002376
0.454,-0.002752
0.141,-0.002481
0.365,-0.001709
0.067,0.002683
0.21,0.001861
0.168,0.003134
0.493,-0.003524
0.375,0.00526
0.4,0.001796
0.272,-0.001538
0.109,0.012059
0.248,-0.003614
0.145,-0.002882
0.092,-0.004075
0.152,-7.82e-05
0.367,-0.005991
0.467,0.0017
0.083,0.000572
0.245,0.004535
0.165,0.004857
0.163,0.002844
0.199,0.015475
0.228,-0.002731
0.074,0.000508
0.478,0.00344
0.358,0.007564
0.25,-0.004978
0.119,0.008821
0.31,-0.003383
0.299,-0.005911
0.255,0.001297
0.354,-0.001658
0.399,0.013251
0.225,-0.003985
0.353,-0.003684
0.234,-0.003052
0.382,0.003359
0.274,-0.001388
0.036,0.001974
0.196,0.000234
0.139,0.002828
0.364,-0.000371
0.244,-0.001157
0.439,-0.007395
0.286,-0.002481
0.059,-0.003183
0.111,-0.005038
0.089,-0.001257
0.436,0.00932
0.006,0.001136
0.36,0.006533
0.346,0.003021
0.338,-0.00574
0.158,-0.002019
0.15,-0.005259
0.177,0.003279
0.393,-0.003704
0.184,0.003069
0.449,-0.005219
0.01,0.000459
0.38,-0.004818
0.103,0.000105
0.081,0.002183
0.038,0.004954
0.314,0.0012
0.167,0.003633
0.469,0.003617
0.296,0.008482
0.474,-0.002461
0.198,0.008756
0.297,-0.003403
0.416,0.006533
0.146,0.000765
0.392,-0.003664
0.147,-0.004637
0.447,-0.001378
0.287,0.002634
0.123,-0.001077
0.368,0.003617
0.096,0.008225
0.143,0.00083
0.239,-0.001307
0.442,0.00721
0.097,0.012091
0.407,-0.00216
0.122,0.004809
0.183,-0.001739
0.202,0.003311
0.246,0.001152
0.305,0.010206
0.298,0.00091
0.351,-0.007405
0.386,-0.002922
0.395,-0.001047
0.284,-0.001157
0.125,-0.002501
0.302,-0.005459
0.223,-0.002721
0.418,-0.001528
0.219,0.001829
0.129,-0.006553
0.42,-0.01267
0.289,-0.008869
0.444,0.004406
0.376,0.007032
0.291,-0.004968
0.355,0.001313
0.294,0.001796
0.396,0.002264
0.34,-0.004156
0.112,-0.001358
0.179,0.001249
0.307,-0.001438
0.432,0.002924
0.487,0.003923
0.481,0.005599
0.422,-0.001097
0.233,0.001861
0.311,0.002924
0.164,0.000379
0.136,0.006984
0.197,0.008611
0.258,0.004374
0.232,-0.004527
0.115,0.001152
0.12,0.001925
0.349,0.004165
0.224,0.004841
0.402,0.00294
0.397,0.009224
0.127,0.004245
0.285,0.009578
0.411,-0.005078
0.107,-0.002671
0.37,0.004567
0.325,-0.004687
0.133,0.000636
0.452,-0.010755
0.044,0.000121
0.46,0.011334
0.065,-0.004948
0.283,0.004052
0.085,0.011753
0.242,-0.001398
0.186,0.000556
0.383,-0.001227
0.159,-0.006412
0.012,-0.004336
0.035,0.00149
0.028,-0.004477
0.17,-0.003022
0.142,-0.001979
0.398,0.007661
0.342,0.007919
0.221,0.000613
0.095,0.001813
0.051,-0.002872
0.24,0.00439
0.484,0.000298
0.378,-0.000664
0.178,-0.004587
0.041,-0.002882
0.498,-0.003454
0.421,0.004326
0.206,-0.003704
0.282,-0.003805
0.254,0.000508
0.412,-0.001899
0.004,0.000204
0.256,0.011705
0.448,0.001845
0.1,-0.00205
0.226,-0.003514
0.429,-0.008077
0.213,0.00228
0.171,-0.003103
0.098,0.006614
0.292,-0.002932
0.215,0.005695
0.061,-0.002611
0.047,-0.00236
0.032,-0.003554
0.267,-0.005349
0.327,-0.008478
0.2,0.001829
0.446,0.000717
0.027,0.001474
0.424,-0.000664
0.23,-0.003153
0.26,-0.001057
0.288,-0.005349
0.162,0.002634
0.425,0.002054
0.138,0.002393
0.062,0.00518
0.135,0.005309
0.128,0.001361
0.476,0.008305
0.008,-0.005299
0.326,-0.002511
0.463,0.004213
0.064,0.003987
0.3,0.004422
0.014,-0.002912
0.156,0.00779
0.04,0.000121
0.379,-0.002411
0.468,0.000379
0.403,-0.002511
0.216,0.00642
0.279,0.010448
0.434,-0.00217
0.43,-0.00237
0.337,-0.002972
0.236,0.009256
0.207,-0.002812
0.212,-0.006853
0.295,-0.003474
0.457,0.002183
0.251,0.008966
0.488,-0.002441
0.486,-0.002912
0.303,0.001877
0.35,0.000749
0.269,0.008257
0.201,-0.004326
0.161,0.001458
0.043,0.001974
0.217,0.010384
0.401,0.004471
0.19,-0.002932
0.309,-0.001989
0.259,0.006952
0.105,-0.001267
0.053,-0.003363
0.389,0.00779
0.001,-0.001327
0.441,0.001152
0.482,0.000314
0.049,0.009417
0.419,0.009916
0.08,0.001136
0.205,-0.004727
0.034,-0.000371
0.263,0.000105
0.427,0.001587
0.366,-0.003815
0.091,0.003069
0.339,0.021194
0.473,0.000613
0.052,0.003617
0.345,0.006307
0.264,0.001233
0.241,-0.001117
0.013,0.000185
0.315,-0.00233
0.088,-0.00225
0.387,0.004519
0.273,-0.002902
0.166,0.000781
0.328,-0.007034
0.492,0.001458
0.134,-0.003875
0.306,0.000204
0.48,0.00207
0.319,-0.003985
0.243,0.001555
0.054,-0.001678
0.363,0.000395
0.05,-0.003093
0.456,0.004503
0.174,-0.003183
0.445,-0.002691
0.189,0.004245
0.496,0.01069
0.187,-0.006873
0.169,0.005292
0.058,0.003359
0.048,-0.002641
0.344,0.000395
0.235,0.002908
0.252,0.004712
0.021,0.004777
0.313,-0.003434
0.459,0.009884
0.16,0.004245
0.276,0.009804
0.443,-0.002009
0.191,-0.001037
0.385,0.000153
0.293,-0.004126
0.413,-0.001598
0.343,-0.001007
0.257,0.004857
0.308,0.001893
0.149,-0.007174
0.13,-0.002009
0.151,0.001974
0.359,-0.003474
0.099,-0.00572
0.372,-0.008799
0.087,0.000975
0.458,0.00041
0.33,0.006904
0.214,-0.003143
0.466,-0.001137
0.121,-0.0021
0.499,0.01359
0.02,-0.009942
0.188,-0.004045
0.071,0.0012
0.106,-0.007295
0.27,-0.005931
0.348,0.004455
0.435,0.001635
0.102,0.007435
