Time - Voltage_1,Amplitude - Voltage_1
0.249,0.004999
0.433,-0.000741
0.019,-0.002365
0.322,-0.002185
0.332,0.003533
0.056,-0.000851
0.301,-0.006016
0.229,-0.001653
0.331,0.003806
0.132,-0.00061
0.137,0.00371
0.423,-0.004471
0.335,0.001325
0.025,-0.000237
0.464,0.000616
0.281,-0.003248
0.247,0.000443
0.237,0.00234
0.117,0.003162
0.042,0.002066
0.22,0.002195
0.176,-0.001874
0.32,-0.000962
0.153,0.001744
0.231,0.002518
0.227,-0.002967
0.417,0.003049
0.203,0.000844
0.126,0.003291
0.329,0.003194
0.031,0.002066
0.113,-0.000841
0.47,0.008865
0.271,-0.003087
0.14,-0.003067
0.057,0.000423
0.192,-0.00035
0.024,0.000653
0.017,-0.000119
0.265,0.000884
0.066,0.015648
0.208,-0.001182
0.479,-0.000119
0.094,-0.000761
0.253,0.000964
0.266,0.00052
0.023,0.005224
0.222,0.000493
0.261,-0.002496
0.426,0.000453
0.005,-0.000431
0.116,-0.002115
0.045,0.000359
0.016,0.000393
0.462,-0.001202
0.357,-0.002526
0.003,0.008237
0.218,-0.003559
0.405,-0.00038
0.06,-0.00054
0.11,0.003919
0.318,-0.0004
0.428,0.008559
0.029,0.003645
0.437,0.000165
0.471,0.005482
0.026,0.004354
0.007,0.000455
0.453,0.001196
0.108,-0.002807
0.037,-0.0006
0.157,0.000804
0.489,0.009252
0.118,0.002824
0.114,0.000844
0.175,-0.001082
0.373,0.000679
0.181,-0.002135
0.144,0.008334
0.369,0.000568
0.39,0.012893
0.195,0.000633
0.404,-0.002787
0.275,0.003388
0.454,0.001599
0.141,-0.001292
0.365,-0.001703
0.067,-0.001282
0.21,0.009413
0.168,-0.000129
0.493,0.000975
0.375,-0.000366
0.4,0.000232
0.272,0.003613
0.109,0.000246
0.248,-0.000753
0.145,0.00872
0.092,0.00197
0.152,0.000563
0.367,0.010331
0.467,-0.002466
0.083,0.005176
0.245,0.002824
0.165,0.002211
0.163,-5.86e-05
0.199,-0.002726
0.228,-0.000173
0.074,0.000162
0.478,0.00089
0.358,0.002324
0.25,0.005546
0.119,-0.002285
0.31,0.006578
0.299,0.000906
0.255,0.001341
0.354,-0.000801
0.399,0.001696
0.225,0.007109
0.353,0.000333
0.234,0.001696
0.382,-0.001242
0.274,-0.000511
0.036,-0.005063
0.196,-0.001453
0.139,0.006288
0.364,-0.000359
0.244,6.18e-05
0.439,0.000161
0.286,0.006078
0.059,-0.002586
0.111,-0.000254
0.089,0.005627
0.436,-0.000753
0.006,0.000161
0.36,0.000679
0.346,-0.000318
0.338,0.00263
0.158,-0.000269
0.15,0.000694
0.177,-0.002907
0.393,-0.001623
0.184,0.000383
0.449,0.003919
0.01,-0.000431
0.38,0.003114
0.103,0.000343
0.081,0.000834
0.038,-2.8e-05
0.314,0.000975
0.167,0.007625
0.469,0.010493
0.296,0.010847
0.474,0.00727
0.198,-0.004582
0.297,0.000543
0.416,0.000854
0.146,0.011572
0.392,0.007431
0.147,-0.00055
0.447,4.25e-06
0.287,0.0006
0.123,0.000653
0.368,0.01249
0.096,-0.001232
0.143,-0.00041
0.239,-0.001122
0.442,0.019966
0.097,0.00139
0.407,3.65e-05
0.122,0.000202
0.183,0.000643
0.202,-0.001643
0.246,0.013328
0.305,-0.00044
0.298,0.000826
0.351,0.000198
0.386,-0.001583
0.395,-0.000469
0.284,-0.000125
0.125,0.000493
0.302,-0.001834
0.223,-0.000139
0.418,-0.003509
0.219,-0.002295
0.129,-0.001683
0.42,0.011411
0.289,0.009606
0.444,-0.004812
0.376,0.000457
0.291,-0.003027
0.355,-0.000254
0.294,0.001325
0.396,0.000794
0.34,-6.02e-05
0.112,0.002856
0.179,-0.002466
0.307,-0.000914
0.432,0.000375
0.487,8.18e-05
0.481,0.000778
0.422,-0.00046
0.233,0.000964
0.311,0.006465
0.164,0.001374
0.136,0.000714
0.197,-0.00063
0.258,-0.00046
0.232,0.00118
0.115,0.009623
0.12,-0.001433
0.349,0.000924
0.224,4.17e-05
0.402,-0.001533
0.397,-0.000705
0.127,0.000455
0.285,-0.002195
0.411,-0.002175
0.107,0.000665
0.37,-0.000299
0.325,-0.001814
0.133,0.00806
0.452,0.000761
0.044,-0.001162
0.46,-0.00056
0.065,0.011636
0.283,-0.002646
0.085,-0.000469
0.242,-0.00048
0.186,-0.000139
0.383,-0.003288
0.159,0.005079
0.012,-0.001623
0.035,-0.002797
0.028,-0.001453
0.17,6.18e-05
0.142,-0.000721
0.398,-0.002997
0.342,-0.002285
0.221,-0.004
0.095,0.002405
0.051,-0.000399
0.24,-0.001613
0.484,0.004757
0.378,-0.004953
0.178,0.002453
0.041,-0.001222
0.498,0.002228
0.421,0.000827
0.206,0.001551
0.282,0.000433
0.254,0.000729
0.412,0.000679
0.004,0.007125
0.256,0.001825
0.448,-0.001152
0.1,-0.00042
0.226,0.001825
0.429,0.000939
0.213,0.000172
0.171,0.00321
0.098,-0.000389
0.292,0.005192
0.215,0.011169
0.061,-0.0006
0.047,0.004821
0.032,-0.000189
0.267,0.001358
0.327,0.004451
0.2,-0.004943
0.446,-0.002225
0.027,0.000543
0.424,1.26e-05
0.23,-0.002215
0.26,-0.002977
0.288,0.00524
0.162,-0.000946
0.425,-0.002486
0.138,0.005273
0.062,8.66e-05
0.135,0.000326
0.128,0.005466
0.476,-0.00085
0.008,0.006433
0.326,0.003951
0.463,0.000826
0.064,0.006884
0.3,0.001068
0.014,0.000904
0.156,-0.001112
0.04,-0.000415
0.379,0.000584
0.468,0.004209
0.403,-0.004993
0.216,-0.000979
0.279,-0.005655
0.434,0.001954
0.43,0.001486
0.337,-0.001292
0.236,-0.00067
0.207,0.004757
0.212,0.002872
0.295,0.000975
0.457,0.000955
0.251,0.000858
0.488,0.000102
0.486,-0.001814
0.303,-0.000289
0.35,0.002969
0.269,-0.000147
0.201,-0.003037
0.161,-0.001553
0.043,0.013634
0.217,0.006078
0.401,-0.0005
0.19,-0.001392
0.309,0.010734
0.259,-0.002486
0.105,0.002163
0.053,0.000132
0.389,0.000784
0.001,0.000142
0.441,-0.003288
0.482,-0.000366
0.049,0.000165
0.419,0.000858
0.08,-0.00069
0.205,0.007109
0.034,0.001857
0.263,-0.000771
0.427,0.000242
0.366,0.000232
0.091,0.001696
0.339,0.007593
0.473,0.007383
0.052,0.002518
0.345,-0.000169
0.264,0.000132
0.241,-0.003539
0.013,-0.002947
0.315,0.001003
0.088,0.000161
0.387,0.00669
0.273,0.000884
0.166,0.008479
0.328,-0.004241
0.492,-0.000149
0.134,-0.001372
0.306,0.001229
0.48,-0.001623
0.319,-0.002325
0.243,0.000653
0.054,0.005546
0.363,-0.00384
0.05,0.000649
0.456,0.000583
0.174,-0.001463
0.445,0.000488
0.189,-0.003398
0.496,0.000149
0.187,-0.000382
0.169,-0.00757
0.058,0.000455
0.048,0.004032
0.344,-0.000228
0.235,0.0006
0.252,0.007947
0.021,-0.001102
0.313,0.002034
0.459,-0.00388
0.16,-0.002355
0.276,0.004016
0.443,0.001793
0.191,0.000603
0.385,0.000974
0.293,-7.63e-05
0.413,0.000326
0.343,-0.00384
0.257,0.000904
0.308,-0.000791
0.149,0.007995
0.13,-0.001764
0.151,0.000165
0.359,-0.000961
0.099,0.001873
0.372,-0.000286
0.087,0.004274
0.458,0.000326
0.33,-0.001182
0.214,0.003468
0.466,-0.000721
0.121,-0.00042
0.499,0.006948
0.02,0.000834
0.188,-0.004211
0.071,0.000761
0.106,-0.002275
0.27,-0.006287
0.348,0.001084
0.435,0.000884
0.102,-0.00068
