Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.002638
0.433,0.001205
0.019,-0.001003
0.322,-0.002929
0.332,-0.000752
0.056,-0.001996
0.301,0.005619
0.229,0.004282
0.331,0.001028
0.132,-0.00347
0.137,-0.00336
0.423,0.003557
0.335,0.003138
0.025,0.000609
0.464,-9.04e-05
0.281,-0.011774
0.247,0.011467
0.237,0.009099
0.117,-0.002628
0.042,-0.001856
0.22,-0.003039
0.176,-0.000221
0.32,-0.001464
0.153,0.005845
0.231,0.005651
0.227,0.007843
0.417,0.000673
0.203,-0.001464
0.126,0.009921
0.329,-0.001224
0.031,0.016252
0.113,0.00048
0.47,0.003621
0.271,0.017139
0.14,-0.003661
0.057,-0.00346
0.192,0.001624
0.024,-0.000199
0.017,0.004121
0.265,-0.000953
0.066,0.005732
0.208,0.005265
0.479,-0.003741
0.094,0.001479
0.253,0.005861
0.266,0.005055
0.023,-0.001043
0.222,-0.00671
0.261,-0.003691
0.426,0.00541
0.005,-0.000492
0.116,-0.005446
0.045,0.002316
0.016,-0.005015
0.462,-0.003591
0.357,0.012482
0.003,-0.002818
0.218,-0.00329
0.405,-0.000933
0.06,-0.005516
0.11,0.007553
0.318,0.002284
0.428,0.009486
0.029,0.001898
0.437,0.004314
0.471,0.009792
0.026,0.008133
0.007,0.013884
0.453,0.002816
0.108,1.26e-05
0.037,-0.006018
0.157,-0.002307
0.489,-0.002467
0.118,0.003138
0.114,0.000899
0.175,0.005216
0.373,0.003992
0.181,0.012337
0.144,-0.002156
0.369,-0.006329
0.39,0.007069
0.195,0.006038
0.404,0.000496
0.275,0.003944
0.454,0.002478
0.141,-0.004112
0.365,0.00027
0.067,0.004636
0.21,0.014271
0.168,0.010275
0.493,0.000512
0.375,0.003589
0.4,-0.001916
0.272,-9.04e-05
0.109,0.005426
0.248,-0.007151
0.145,-0.000708
0.092,-0.001575
0.152,0.000931
0.367,-0.000542
0.467,0.006924
0.083,-0.001575
0.245,0.001946
0.165,-0.000742
0.163,-0.004824
0.199,-0.00327
0.228,0.003573
0.074,0.001672
0.478,-0.002828
0.358,0.006731
0.25,0.017767
0.119,-0.00351
0.31,0.008229
0.299,-0.004934
0.255,0.002107
0.354,-0.001073
0.399,-0.003992
0.225,0.000367
0.353,0.003396
0.234,0.001124
0.382,0.001833
0.274,-0.000331
0.036,-0.002838
0.196,-0.005085
0.139,-0.002287
0.364,-0.001324
0.244,-0.002166
0.439,-0.004162
0.286,0.012595
0.059,-0.004022
0.111,0.012257
0.089,0.012289
0.436,0.00222
0.006,0.009454
0.36,-0.002919
0.346,0.003783
0.338,-0.006228
0.158,0.004733
0.15,-0.00684
0.177,-0.002919
0.393,0.001656
0.184,-0.002377
0.449,0.018363
0.01,-0.000752
0.38,0.005716
0.103,-0.001725
0.081,0.014351
0.038,0.003766
0.314,-0.00011
0.167,-8.04e-05
0.469,0.013433
0.296,0.002687
0.474,-7.21e-05
0.198,0.000673
0.297,-0.012296
0.416,-0.004573
0.146,0.00288
0.392,0.008181
0.147,0.001366
0.447,0.00085
0.287,0.009067
0.123,-0.00349
0.368,0.00085
0.096,-0.002879
0.143,0.000464
0.239,-0.002036
0.442,0.001318
0.097,-0.007472
0.407,-0.005927
0.122,-0.001133
0.183,0.002848
0.202,-0.006469
0.246,0.008535
0.305,0.000786
0.298,-0.005436
0.351,0.013868
0.386,0.007698
0.395,0.00143
0.284,0.004056
0.125,-0.001244
0.302,-0.001635
0.223,-0.002487
0.418,-0.004293
0.219,-0.001454
0.129,0.005845
0.42,0.000206
0.289,-0.00342
0.444,-0.000281
0.376,-0.002939
0.291,0.00425
0.355,0.004524
0.294,0.003976
0.396,-0.004122
0.34,-0.008695
0.112,0.002333
0.179,-0.004573
0.307,0.00541
0.432,0.004314
0.487,0.008809
0.481,-0.012757
0.422,0.002445
0.233,-0.000351
0.311,0.000238
0.164,0.000673
0.136,-0.006589
0.197,-0.001846
0.258,-0.007392
0.232,-0.001464
0.115,0.000866
0.12,0.000883
0.349,0.006521
0.224,-0.001254
0.402,-0.007753
0.397,-0.005376
0.127,0.0052
0.285,0.001527
0.411,0.001978
0.107,-0.001364
0.37,-0.007953
0.325,-0.001705
0.133,0.005651
0.452,-0.000221
0.044,-0.001866
0.46,-0.004162
0.065,0.000947
0.283,-0.006218
0.085,-0.000199
0.242,-0.002929
0.186,0.00135
0.383,-0.000993
0.159,-0.000301
0.012,-0.003831
0.035,0.003895
0.028,0.004604
0.17,0.012676
0.142,0.000415
0.398,0.004137
0.342,0.001028
0.221,-0.002688
0.095,0.00077
0.051,-0.000923
0.24,0.008551
0.484,-0.000161
0.378,-0.001775
0.178,-0.003611
0.041,-0.006318
0.498,-0.00671
0.421,-0.007482
0.206,0.011612
0.282,-0.004573
0.254,0.001414
0.412,-0.004182
0.004,-0.000893
0.256,-0.009197
0.448,0.001527
0.1,0.004862
0.226,0.002768
0.429,-0.001123
0.213,0.005829
0.171,0.011419
0.098,-0.004794
0.292,-6.04e-05
0.215,0.002945
0.061,0.001382
0.047,0.007665
0.032,0.007295
0.267,-0.002126
0.327,0.006699
0.2,-0.002387
0.446,0.020763
0.027,0.007182
0.424,-0.000853
0.23,0.019652
0.26,0.002735
0.288,-0.001424
0.162,-0.005957
0.425,-0.001083
0.138,-0.000542
0.062,-0.005917
0.135,0.004056
0.128,0.000705
0.476,-0.004624
0.008,0.008245
0.326,0.011999
0.463,-0.002357
0.064,-0.002166
0.3,-0.001996
0.014,0.001495
0.156,-0.004543
0.04,0.01216
0.379,0.000564
0.468,-0.001545
0.403,-0.003741
0.216,-0.001675
0.279,-0.018253
0.434,0.000182
0.43,0.008487
0.337,-0.010079
0.236,-0.001053
0.207,0.009889
0.212,-0.002106
0.295,0.00114
0.457,-0.006218
0.251,0.000945
0.488,0.003815
0.486,0.005055
0.303,-0.002758
0.35,0.002075
0.269,0.016269
0.201,-0.008645
0.161,-0.003019
0.043,-0.003119
0.217,-0.005115
0.401,-0.008655
0.19,-0.001164
0.309,0.007714
0.259,0.002558
0.105,-0.001404
0.053,0.008052
0.389,0.007698
0.001,-0.000171
0.441,-0.005897
0.482,0.002913
0.049,-0.010681
0.419,0.003186
0.08,-0.002397
0.205,0.002381
0.034,0.000182
0.263,-0.003992
0.427,0.000464
0.366,0.013224
0.091,-0.008976
0.339,0.001559
0.473,0.00085
0.052,-0.001755
0.345,-0.001464
0.264,0.000931
0.241,-0.003601
0.013,0.004862
0.315,0.000174
0.088,0.00317
0.387,-0.000823
0.273,0.004266
0.166,0.010678
0.328,0.005088
0.492,0.000609
0.134,-0.000361
