Time - Voltage_1,Amplitude - Voltage_1
0.249,0.003134
0.433,-0.005078
0.019,-0.001327
0.322,0.003311
0.332,-0.002912
0.056,-0.006823
0.301,0.011592
0.229,0.001184
0.331,-0.00216
0.132,-0.002721
0.137,-0.004186
0.423,0.013976
0.335,-0.002641
0.025,0.003166
0.464,-0.004677
0.281,0.001571
0.247,-0.002842
0.237,0.00178
0.117,-0.001508
0.042,0.014492
0.22,0.000508
0.176,-0.005249
0.32,0.000703
0.153,0.007935
0.231,-0.004587
0.227,0.001523
0.417,-0.004487
0.203,0.015942
0.126,-0.004015
0.329,0.000685
0.031,-0.004446
0.113,-0.003273
0.47,0.005647
0.271,-0.001428
0.14,0.004841
0.057,0.002006
0.192,-0.002441
0.024,-0.004065
0.017,0.000185
0.265,-0.003393
0.066,0.014379
0.208,0.001329
0.479,-0.001829
0.094,-0.001618
0.253,-0.005499
0.266,-0.005891
0.023,-0.003123
0.222,0.000588
0.261,0.002892
0.426,-0.004707
0.005,0.00605
0.116,-0.005169
0.045,0.006501
0.016,0.008821
0.462,0.00315
0.357,-0.004988
0.003,0.000185
0.218,-0.003704
0.405,-0.002721
0.06,0.002135
0.11,0.00294
0.318,-0.003885
0.428,0.001136
0.029,-0.001197
0.437,-0.008378
0.471,-0.006051
0.026,0.01185
0.007,-0.003454
0.453,-0.003654
0.108,-0.001127
0.037,0.000491
0.157,-0.001307
0.489,0.001523
0.118,-0.003032
0.114,-0.009661
0.175,-0.004818
0.373,-0.001869
0.181,0.007032
0.144,-0.003413
0.369,0.000943
0.39,0.007516
0.195,0.01301
0.404,-0.004286
0.275,0.003391
0.454,-0.007937
0.141,0.00874
0.365,-0.003544
0.067,0.003118
0.21,-0.000762
0.168,0.001748
0.493,-0.001658
0.375,-0.00227
0.4,0.007371
0.272,-0.005951
0.109,0.00199
0.248,0.002747
0.145,0.000653
0.092,-0.005289
0.152,-0.001147
0.367,-0.001197
0.467,0.001281
0.083,-0.002752
0.245,0.01939
0.165,0.007274
0.163,0.000363
0.199,-0.001017
0.228,0.002811
0.074,-0.007906
0.478,-0.0021
0.358,-0.002511
0.25,-0.003403
0.119,-0.001388
0.31,0.003343
0.299,4.03e-05
0.255,0.006404
0.354,0.004938
0.399,-0.002892
0.225,-0.004346
0.353,0.001313
0.234,-0.005911
0.382,-0.001548
0.274,0.002376
0.036,-0.002581
0.196,0.002296
0.139,-0.001347
