Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.001899
0.433,0.006162
0.019,0.004664
0.322,0.0012
0.332,0.006452
0.056,0.001571
0.301,-0.001849
0.229,-0.00207
0.331,0.011254
0.132,0.005309
0.137,-0.00207
0.423,-0.002892
0.335,0.017762
0.025,0.001088
0.464,-0.001448
0.281,-0.001237
0.247,-0.001438
0.237,0.004906
0.117,-0.001177
0.042,-0.001638
0.22,0.001958
0.176,-0.001358
0.32,0.002103
0.153,-0.006222
0.231,0.009014
0.227,0.003118
0.417,-0.001398
0.203,0.000801
0.126,-0.002461
0.329,-0.001378
0.031,0.00787
0.113,-0.004386
0.47,-0.001177
0.271,0.006775
0.14,-0.002721
0.057,0.000201
0.192,-0.003774
0.024,-0.003574
0.017,0.006968
0.265,-0.004226
0.066,-0.00205
0.208,-0.00233
0.479,0.004294
0.094,0.003698
0.253,-0.002711
0.266,-0.004356
0.023,0.001845
0.222,0.005357
0.261,-0.003604
0.426,-0.00222
0.005,-0.010103
0.116,-0.006773
0.045,-0.008939
0.016,0.013332
0.462,-0.004647
0.357,-0.002039
0.003,0.010271
0.218,0.001732
0.405,-0.004807
0.06,0.00315
0.11,0.003907
0.318,0.00257
0.428,-0.003062
0.029,-0.00209
0.437,0.003134
0.471,-0.001327
0.026,-0.002772
0.007,0.004761
0.453,-0.003183
0.108,0.000312
0.037,0.00837
0.157,0.008692
0.489,-0.003283
0.118,-0.001678
0.114,0.009111
0.175,0.000701
0.373,0.006001
0.181,-0.002952
0.144,-0.005349
0.369,-0.002982
0.39,-0.003915
0.195,0.004519
0.404,0.00025
0.275,0.000105
0.454,0.004471
0.141,-0.001989
0.365,0.007919
0.067,-0.001578
0.21,0.002441
0.168,-0.001829
0.493,0.005824
0.375,-0.00216
0.4,-0.001317
0.272,-0.001759
0.109,-0.003494
0.248,-0.003774
0.145,-0.004938
0.092,0.009868
0.152,0.003987
0.367,-0.005068
0.467,-0.004196
0.083,-0.002531
0.245,-0.003403
0.165,-0.00569
0.163,0.005953
0.199,0.003826
0.228,-0.004477
0.074,0.000169
0.478,-0.004176
0.358,-7.82e-05
0.25,0.000669
0.119,0.003053
0.31,-0.002009
0.299,0.001587
0.255,-0.004216
0.354,0.00373
0.399,0.000926
0.225,-0.004647
0.353,-0.001739
0.234,-0.002842
0.382,0.004084
0.274,0.000524
0.036,0.007548
0.196,-0.00207
0.139,0.003053
0.364,-0.004998
0.244,-0.001588
0.439,4.03e-05
0.286,-0.003403
0.059,0.00112
0.111,0.006275
0.089,-0.003032
0.436,-0.002932
0.006,-0.003915
0.36,0.003665
0.346,-0.003423
0.338,-0.002581
0.158,-0.001658
0.15,0.003987
0.177,0.005309
0.393,0.003182
0.184,-0.007796
0.449,-0.002501
0.01,0.000508
0.38,0.001539
0.103,-0.002421
0.081,-0.001628
0.038,-0.001167
0.314,0.007065
0.167,-0.003835
0.469,-0.003363
0.296,0.003295
0.474,0.000814
0.198,-0.001448
0.297,-0.002922
0.416,0.002763
0.146,-0.006312
0.392,-0.00228
0.147,-0.005911
0.447,-0.007234
0.287,-0.001949
0.123,-0.00553
0.368,-0.001107
0.096,0.008321
0.143,0.006581
0.239,0.002344
0.442,-0.00235
0.097,-0.003303
0.407,-0.003263
0.122,-0.005469
0.183,-0.010534
0.202,-0.001699
0.246,-0.002461
0.305,-0.004687
0.298,0.001974
0.351,0.004455
0.386,0.000282
0.395,0.022724
0.284,-0.002611
0.125,-0.009321
0.302,-0.00582
0.223,0.009111
0.418,-0.002431
0.219,0.003585
0.129,0.000703
0.42,-0.001498
0.289,-0.001267
0.444,0.001104
0.376,-0.001668
0.291,0.006823
0.355,0.001651
0.294,0.001007
0.396,-0.001107
0.34,0.000395
0.112,0.000363
0.179,0.000814
0.307,0.000701
0.432,0.007741
0.487,-0.007084
0.481,0.005437
0.422,-0.001378
0.233,-0.00226
0.311,0.00149
0.164,-0.002882
0.136,0.002215
0.197,0.00518
0.258,-0.003835
0.232,-0.00216
0.115,-0.001759
0.12,0.006662
0.349,-0.002742
0.224,-0.001368
0.402,0.000765
0.397,0.002199
0.127,-0.003574
0.285,-0.002852
0.411,0.003424
0.107,-0.008649
0.37,0.000105
0.325,-0.002842
0.133,0.005067
0.452,0.000314
0.044,-0.00552
0.46,0.002666
0.065,-0.002421
0.283,0.006694
0.085,0.003794
0.242,0.004567
0.186,-0.005058
0.383,0.002666
0.159,0.002699
0.012,-0.001959
0.035,-0.005048
0.028,-0.003153
0.17,0.006307
0.142,-0.001438
0.398,0.003005
0.342,-0.003965
0.221,-0.00206
0.095,0.001394
0.051,0.007032
0.24,0.00265
0.484,0.008515
0.378,0.003778
0.178,0.001716
0.041,-0.006131
0.498,-0.001428
0.421,0.002054
0.206,0.000846
0.282,-0.001799
0.254,0.006565
0.412,0.001958
0.004,0.00207
0.256,0.003955
0.448,-0.000469
0.1,-0.002551
0.226,0.003649
0.429,-0.001829
0.213,-0.00234
0.171,0.008482
0.098,-7.82e-05
0.292,0.010222
0.215,0.000701
0.061,-0.003143
0.047,0.00373
0.032,0.002457
0.267,0.000443
0.327,0.004261
0.2,-0.002641
0.446,-0.002501
0.027,-0.003333
0.424,0.003327
0.23,4.03e-05
0.26,-0.004527
0.288,-0.004436
0.162,-0.003293
0.425,0.009481
0.138,-0.001247
0.062,0.001039
0.135,0.014186
0.128,-0.003183
0.476,0.002505
0.008,-0.003664
0.326,-0.004326
0.463,-0.001137
0.064,-0.008568
0.3,0.002747
0.014,0.01417
0.156,-0.004085
0.04,-0.001618
0.379,0.000475
0.468,-0.002792
0.403,0.00041
0.216,-0.006061
0.279,-0.001398
0.434,-0.002441
0.43,-0.000566
0.337,0.003182
0.236,-0.003544
0.207,-0.001207
0.212,-0.001909
0.295,0.002666
0.457,0.005502
0.251,0.011914
0.488,-0.002661
0.486,-0.002892
0.303,-0.003343
0.35,-0.001979
0.269,8.1e-06
0.201,-0.003093
0.161,-0.002842
0.043,0.003343
0.217,-0.001799
0.401,-0.006041
0.19,-0.00213
0.309,5.64e-05
0.259,0.006146
0.105,0.004745
0.053,0.009771
0.389,0.000798
0.001,-0.002501
0.441,0.003343
0.482,0.000959
0.049,-0.0021
0.419,0.000781
0.08,0.003472
0.205,-0.017374
0.034,-0.004176
0.263,-0.003855
0.427,-0.002551
0.366,-0.006392
0.091,0.00439
0.339,0.001329
0.473,-0.008308
0.052,0.004116
0.345,0.004197
0.264,-0.002711
0.241,0.006324
0.013,-0.001899
0.315,-0.001919
0.088,-0.000273
0.387,-0.001528
0.273,-0.003213
0.166,-0.000469
0.328,-0.003564
0.492,-0.001267
0.134,0.014524
0.306,0.000312
0.48,0.000991
0.319,7.25e-05
0.243,-0.007575
0.054,-0.00233
0.363,-0.001297
0.05,0.000733
0.456,-0.000566
0.174,-0.001889
0.445,0.015539
0.189,0.000427
0.496,-0.005249
0.187,0.004648
0.169,-0.003664
0.058,0.000312
0.048,-0.00223
0.344,0.004471
0.235,-0.001418
0.252,-0.001478
0.021,-0.003133
0.313,0.006356
0.459,0.003714
0.16,0.001571
0.276,0.00207
0.443,-0.006492
0.191,0.003472
0.385,-0.007756
0.293,0.004648
0.413,0.005985
0.343,0.007403
0.257,0.006662
0.308,-0.004898
0.149,-0.003454
0.13,-0.001358
0.151,0.006597
0.359,0.000898
0.099,0.00207
0.372,0.007951
0.087,-0.004386
0.458,0.000801
0.33,-0.001638
0.214,0.00294
0.466,-0.003113
0.121,-0.001648
0.499,0.00041
0.02,-0.003283
0.188,-0.006101
0.071,0.006501
0.106,-0.001117
0.27,-0.00217
0.348,-0.001317
0.435,-0.001618
0.102,-0.007405
