Time - Voltage_1,Amplitude - Voltage_1
0.249,0.002409
0.433,-0.00908
0.019,-0.001317
0.322,0.004567
0.332,-0.00579
0.056,-0.003213
0.301,0.003472
0.229,-0.002491
0.331,0.003585
0.132,0.001088
0.137,0.004116
0.423,0.009836
0.335,-0.002601
0.025,0.006211
0.464,0.009352
0.281,0.000572
0.247,0.004567
0.237,0.002699
0.117,-0.006873
0.042,-0.001307
0.22,-0.003785
0.176,-0.003514
0.32,-0.002992
0.153,0.0017
0.231,0.002683
0.227,-0.00217
0.417,-0.002922
0.203,0.006501
0.126,0.003971
0.329,0.002924
0.031,0.004793
0.113,0.004696
0.47,-0.004406
0.271,0.00083
0.14,-0.004276
0.057,-0.002621
0.192,0.006034
0.024,-0.001548
0.017,-0.005409
0.265,0.001587
0.066,0.003955
0.208,0.001958
0.479,0.003762
0.094,-0.004025
0.253,-0.007937
0.266,-0.002501
0.023,-0.000957
0.222,0.003955
0.261,-0.001388
0.426,-0.003193
0.005,0.007322
0.116,0.00381
0.045,0.006887
0.016,-0.003785
0.462,0.002828
0.357,0.0012
0.003,2.42e-05
0.218,-0.010544
0.405,0.004761
0.06,0.004712
0.11,0.001152
0.318,-0.003243
0.428,0.00236
0.029,-0.004386
0.437,-0.001177
0.471,0.00033
0.026,0.014492
0.007,0.001813
0.453,-0.002009
0.108,0.002296
0.037,-0.001729
0.157,0.002425
0.489,-0.003032
0.118,0.001055
0.114,-0.00209
0.175,0.007194
0.373,-0.003754
0.181,-0.000273
0.144,0.009127
0.369,0.001668
0.39,-0.004617
0.195,-0.005068
0.404,-0.001518
0.275,-0.003113
0.454,-0.005419
0.141,-0.00211
0.365,-0.006402
0.067,-0.001508
0.21,-0.001568
0.168,-0.001959
0.493,-0.003213
0.375,-0.003133
0.4,0.008434
0.272,-0.003734
0.109,-0.002461
0.248,8.87e-05
0.145,0.003665
0.092,-0.001297
0.152,0.000717
0.367,0.001265
0.467,-0.001287
0.083,-0.0021
0.245,-0.001067
0.165,-0.004115
0.163,0.010094
0.199,0.000878
0.228,-0.006693
0.074,-0.001017
0.478,-0.001789
0.358,-0.002521
0.25,-0.001839
0.119,-0.001177
0.31,0.006034
0.299,-0.001849
0.255,-0.001307
0.354,0.012285
0.399,-0.002742
0.225,0.004294
0.353,-0.003574
0.234,-0.00219
0.382,0.000653
0.274,-0.001658
0.036,0.001216
0.196,0.001571
0.139,0.001168
0.364,-0.002782
0.244,0.001442
0.439,0.003536
0.286,-0.001538
0.059,-0.003674
0.111,8.87e-05
0.089,0.012381
0.436,-0.004707
0.006,0.000846
0.36,-0.001829
0.346,0.002586
0.338,-0.001358
0.158,0.004535
0.15,-0.001017
0.177,0.007467
0.393,0.00961
0.184,0.011608
0.449,-0.002681
0.01,-0.003303
0.38,0.002473
0.103,0.002634
0.081,-0.003163
0.038,-0.0057
0.314,0.003891
0.167,-0.002411
0.469,0.00439
0.296,-0.004527
0.474,-0.004025
0.198,0.008176
0.297,-0.003704
0.416,0.010239
0.146,0.018085
0.392,-0.003754
0.147,0.010464
0.447,0.000215
0.287,-0.00217
