Time - Voltage_1,Amplitude - Voltage_1
0.249,0.001007
0.433,0.004503
0.019,0.009143
0.322,0.002006
0.332,-0.005088
0.056,0.000218
0.301,-0.004497
0.229,-0.002691
0.331,-0.006693
0.132,0.000878
0.137,-0.001187
0.423,-0.00232
0.335,-0.004466
0.025,-0.001147
0.464,0.002876
0.281,0.009143
0.247,0.00352
0.237,-0.00211
0.117,-0.001227
0.042,-0.002431
0.22,-0.00234
0.176,-0.003113
0.32,0.007919
0.153,-0.00585
0.231,-0.00576
0.227,0.000556
0.417,-0.001408
0.203,0.010303
0.126,0.001265
0.329,-0.00233
0.031,0.007387
0.113,-0.00575
0.47,0.000282
0.271,-0.006081
0.14,-0.004928
0.057,-0.001829
0.192,-0.001337
0.024,-0.001277
0.017,-0.001147
0.265,-0.000469
0.066,0.002328
0.208,0.000508
0.479,7.25e-05
0.094,0.002795
0.253,-0.003012
0.266,0.000411
0.023,-0.002772
0.222,0.004229
0.261,0.00041
0.426,0.001071
0.005,0.001168
0.116,-0.001909
0.045,4.03e-05
0.016,-0.00231
0.462,-0.001007
0.357,-0.002551
0.003,-0.006111
0.218,0.010094
0.405,0.002199
0.06,0.008772
0.11,0.012768
0.318,0.006324
0.428,-0.003193
0.029,0.00402
0.437,0.000201
0.471,-0.001177
0.026,0.000653
0.007,8.87e-05
0.453,0.009497
0.108,0.003279
0.037,-0.001668
0.157,0.000604
0.489,0.002602
0.118,0.001877
0.114,-0.00225
0.175,-0.003403
0.373,0.001329
0.181,0.000717
0.144,0.010561
0.369,-0.00557
0.39,-0.007475
0.195,-0.003694
0.404,0.00033
0.275,-0.00237
0.454,-0.00898
0.141,0.004632
0.365,-0.001307
0.067,0.002956
0.21,-0.001769
0.168,-0.002762
0.493,-0.003925
0.375,-0.004276
0.4,0.000653
0.272,0.006452
0.109,-0.002029
0.248,0.000653
0.145,-0.000566
0.092,0.001796
0.152,0.00381
0.367,0.004535
0.467,0.005647
0.083,-0.002912
0.245,-0.003754
0.165,0.000894
0.163,0.010303
0.199,0.00468
0.228,-0.003614
0.074,-0.00214
0.478,0.003617
0.358,0.007725
0.25,-0.001187
0.119,0.003198
0.31,0.002167
0.299,0.002248
0.255,-0.004747
0.354,-0.001187
0.399,-0.004075
0.225,0.001249
0.353,-0.001388
0.234,-0.001448
0.382,0.007532
0.274,-0.001498
0.036,8.1e-06
0.196,-0.00234
0.139,0.013606
0.364,0.003005
0.244,0.002441
0.439,0.004825
0.286,0.000814
0.059,0.007403
0.111,-0.004938
0.089,-0.006733
0.436,-0.00216
0.006,0.002586
0.36,0.006324
0.346,0.00207
0.338,0.003859
0.158,0.002505
0.15,0.005373
0.177,-0.001418
0.393,0.004116
0.184,0.005744
0.449,-0.004356
0.01,-0.006883
0.38,0.010641
0.103,0.002586
0.081,-0.003644
0.038,0.00062
0.314,-0.003183
0.167,-0.002491
0.469,0.002586
0.296,-0.002491
0.474,-0.005158
0.198,0.008466
0.297,-0.001137
0.416,-0.001859
0.146,0.001796
0.392,-0.007255
0.147,0.00323
0.447,0.001877
0.287,0.001603
0.123,-0.003403
0.368,0.003923
0.096,-0.002812
0.143,0.004036
0.239,0.009288
0.442,-0.001017
0.097,-0.001287
0.407,0.000749
0.122,-0.00207
