Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.000147
0.433,0.007866
0.019,0.005627
0.322,0.007045
0.332,-0.000269
0.056,-0.000469
0.301,0.001664
0.229,-0.001503
0.331,0.005546
0.132,0.000794
0.137,0.000906
0.423,0.000359
0.335,-0.001683
0.025,0.000694
0.464,0.000814
0.281,0.000162
0.247,0.000246
0.237,-0.001844
0.117,0.0006
0.042,-0.000237
0.22,-0.000721
0.176,-0.000991
0.32,0.003839
0.153,0.001631
0.231,0.006239
0.227,-0.00415
0.417,0.000246
0.203,7.18e-05
0.126,-0.001904
0.329,-0.00037
0.031,-0.000299
0.113,0.00698
0.47,0.008318
0.271,0.014037
0.14,-0.000399
0.057,-0.002355
0.192,8.48e-05
0.024,-0.002746
0.017,-0.000125
0.265,-0.008042
0.066,0.000142
0.208,-0.00056
0.479,-0.000951
0.094,0.002453
0.253,-0.003559
0.266,0.002646
0.023,-3.85e-05
0.222,-0.001132
0.261,-0.002175
0.426,-0.00056
0.005,0.000222
0.116,-0.001102
0.045,-0.003148
0.016,0.000312
0.462,0.001196
0.357,-0.000205
0.003,-0.000656
0.218,-0.000761
0.405,-0.000721
0.06,-0.000991
0.11,-0.000229
0.318,0.000794
0.428,-0.000721
0.029,-0.003358
0.437,0.000573
0.471,0.000633
0.026,0.002518
0.007,0.00089
0.453,0.007206
0.108,-0.007079
0.037,-0.000624
0.157,0.000353
0.489,0.005546
0.118,0.006046
0.114,-0.001974
0.175,-0.006557
0.373,0.001857
0.181,0.002485
0.144,-0.004281
0.369,0.000302
0.39,0.001422
0.195,-0.002084
0.404,-0.001854
0.275,0.000198
0.454,0.000152
0.141,0.002582
0.365,-0.000286
0.067,0.004129
0.21,-0.000952
0.168,-0.003338
0.493,-0.001603
0.375,0.001051
0.4,-0.004
0.272,0.005998
0.109,0.000152
0.248,-0.001904
0.145,-0.003779
0.092,0.00632
0.152,0.007528
0.367,-0.00055
0.467,-0.000962
0.083,0.001261
0.245,-0.005274
0.165,-0.000771
0.163,-0.005334
0.199,0.000964
0.228,8.66e-05
0.074,0.003388
0.478,0.003629
0.358,0.001261
0.25,0.000714
0.119,0.000874
0.31,0.002324
0.299,0.000713
0.255,0.000403
0.354,-0.003168
0.399,-0.00064
0.225,-0.005795
0.353,0.00495
0.234,-0.000495
0.382,0.002808
0.274,-9.24e-05
0.036,0.018323
0.196,0.0035
0.139,0.001793
0.364,0.00429
0.244,-0.002275
0.439,-0.002205
0.286,-0.000239
0.059,0.004338
0.111,0.000192
0.089,-0.00055
0.436,0.000101
0.006,-0.000592
0.36,-8.87e-05
0.346,0.000616
0.338,-0.00063
0.158,0.000182
0.15,-0.000205
0.177,0.003629
0.393,-0.000751
0.184,0.006384
0.449,0.000603
0.01,-0.001673
0.38,-0.000705
0.103,0.008253
0.081,0.000343
0.038,0.001454
0.314,0.000375
0.167,0.000761
0.469,0.012458
0.296,-0.000771
0.474,0.001986
0.198,0.003355
0.297,0.000884
0.416,0.000858
0.146,-0.00048
0.392,0.001229
0.147,-0.001573
0.447,-0.000339
0.287,-5.86e-05
0.123,0.000423
0.368,-0.00056
0.096,0.000844
0.143,-0.000228
0.239,-0.000221
0.442,0.000724
0.097,0.010154
0.407,-0.000308
0.122,0.004145
0.183,-0.000817
0.202,-0.000109
0.246,-0.001252
0.305,-0.003739
0.298,0.000923
0.351,0.006481
0.386,0.001921
0.395,0.013376
0.284,0.000162
0.125,-0.001573
0.302,-0.001824
0.223,0.003839
0.418,-0.000544
0.219,0.000633
0.129,-0.001332
0.42,0.000584
0.289,-0.000349
0.444,0.000784
0.376,0.000674
0.291,0.010364
0.355,-0.001573
0.294,-0.000656
0.396,-0.00059
0.34,0.000826
0.112,0.001696
0.179,0.002824
0.307,0.000724
0.432,-0.000389
0.487,-0.000329
0.481,-0.000159
0.422,-0.000952
0.233,0.000292
0.311,0.008817
0.164,-0.005484
0.136,0.008656
0.197,-0.000689
0.258,-0.000834
0.232,0.003388
0.115,-0.00064
0.12,0.000616
0.349,-0.000821
0.224,-0.008222
0.402,0.000729
0.397,0.000403
0.127,0.000423
0.285,0.000884
0.411,0.001051
0.107,0.017018
0.37,0.00545
0.325,0.003307
0.133,0.00139
0.452,-0.000469
0.044,-0.002064
0.46,-0.002496
0.065,-0.009265
0.283,-0.009626
0.085,0.002405
0.242,0.001084
0.186,-0.007841
0.383,-0.003077
0.159,-0.000592
0.012,-0.000911
0.035,0.000794
0.028,-0.002957
0.17,-0.00043
0.142,-0.00402
0.398,0.001986
0.342,0.010718
0.221,-0.000721
0.095,0.000971
0.051,0.000232
0.24,0.002453
0.484,0.000827
0.378,1.26e-05
0.178,0.000744
0.041,0.002904
0.498,0.002453
0.421,-0.004451
0.206,-0.003117
0.282,-0.000308
0.254,0.01154
0.412,0.003146
0.004,-0.002957
0.256,-0.003097
0.448,0.000122
0.1,-0.000495
0.226,-0.001764
0.429,0.003114
0.213,0.007158
0.171,0.000826
0.098,0.003001
0.292,0.006755
0.215,0.014214
0.061,0.004838
0.047,0.006368
0.032,0.00147
0.267,-0.005264
0.327,-0.001623
0.2,0.002727
0.446,-0.00059
0.027,0.003049
0.424,-0.000309
0.23,0.000694
0.26,-0.00035
0.288,-0.00039
0.162,0.001938
0.425,-0.002676
0.138,6.87e-05
0.062,-0.002556
0.135,-0.000147
0.128,0.000282
0.476,0.001599
0.008,0.005079
0.326,0.000232
0.463,0.002663
0.064,-0.002305
0.3,-0.000302
0.014,0.002292
0.156,0.00553
0.04,0.000513
0.379,0.002953
0.468,0.000262
0.403,0.001132
0.216,0.001438
0.279,-0.000817
0.434,0.004676
0.43,0.011169
0.337,0.000729
0.236,0.00785
0.207,-0.002546
0.212,0.009397
0.295,0.001825
0.457,0.000503
0.251,0.001261
0.488,0.000904
0.486,-0.001142
0.303,-0.006176
0.35,-0.000254
0.269,-0.000821
0.201,0.001599
0.161,0.003114
0.043,0.00147
0.217,0.004354
0.401,-0.00055
0.19,0.000694
0.309,-0.000861
0.259,0.002018
0.105,-0.006788
0.053,0.002066
0.389,7.18e-05
0.001,-0.000415
0.441,-0.00382
0.482,-0.002084
0.049,-0.003519
0.419,0.003951
0.08,0.000198
0.205,-0.002024
0.034,-0.000769
0.263,-0.000141
0.427,-0.000339
0.366,-0.001302
0.091,-0.001312
0.339,0.001358
0.473,0.000391
0.052,-0.000946
0.345,0.000764
0.264,-0.00397
0.241,0.00176
0.013,0.003903
0.315,0.000192
0.088,-0.003358
0.387,-0.003067
0.273,0.00321
0.166,0.000814
0.328,0.000724
0.492,-0.00071
0.134,-0.000299
0.306,-0.004742
0.48,-0.004401
0.319,0.003694
0.243,-0.000851
0.054,0.009123
0.363,-0.005224
0.05,0.000142
0.456,0.002099
0.174,0.008978
0.445,-0.002054
0.189,0.000794
0.496,0.000531
0.187,-0.001754
0.169,0.000232
0.058,0.000457
0.048,0.006046
0.344,0.000504
0.235,0.000681
0.252,0.000804
0.021,0.000964
0.313,0.003823
0.459,-0.002466
0.16,0.000407
0.276,0.00139
0.443,-0.002215
0.191,0.003162
0.385,-0.00385
0.293,0.006755
0.413,0.011975
0.343,-0.002857
0.257,0.000745
0.308,-0.000741
0.149,-0.002456
0.13,-0.000801
0.151,-0.000731
0.359,0.000407
0.099,0.001051
0.372,5.17e-05
0.087,0.007383
0.458,0.002969
0.33,0.005482
0.214,0.002131
0.466,-0.001814
0.121,0.000391
0.499,0.000282
0.02,0.000471
0.188,-0.001222
0.071,-0.000189
0.106,0.001454
0.27,0.000407
0.348,-0.000995
0.435,0.000149
0.102,-0.002034
