Time - Voltage_1,Amplitude - Voltage_1
0.249,2.16e-05
0.433,0.007834
0.019,-0.003117
0.322,0.000455
0.332,0.001132
0.056,0.008382
0.301,0.001132
0.229,-0.001954
0.331,6.87e-05
0.132,-0.0004
0.137,-0.001703
0.423,-0.005234
0.335,0.000681
0.025,0.00611
0.464,9.18e-05
0.281,0.002888
0.247,-0.002827
0.237,0.000729
0.117,0.000473
0.042,0.000403
0.22,-0.000881
0.176,0.003774
0.32,0.000874
0.153,0.000764
0.231,0.000323
0.227,0.002679
0.417,-0.000319
0.203,-0.00055
0.126,-0.000791
0.329,0.000593
0.031,-0.002937
0.113,-0.000981
0.47,0.00292
0.271,-0.00039
0.14,0.005981
0.057,0.000373
0.192,2.16e-05
0.024,0.00263
0.017,0.000149
0.265,0.007947
0.066,-0.00048
0.208,-0.000861
0.479,0.002292
0.094,0.003065
0.253,0.011282
0.266,-0.008634
0.023,-0.000753
0.222,0.000262
0.261,0.000471
0.426,-0.001222
0.005,-0.001382
0.116,-0.001764
0.045,0.001374
0.016,0.007995
0.462,-0.000672
0.357,0.000423
0.003,-0.00055
0.218,-0.000237
0.405,-0.000209
0.06,0.003049
0.11,-0.002245
0.318,0.006529
0.428,-0.001132
0.029,0.003065
0.437,0.001019
0.471,0.009961
0.026,-0.002967
0.007,-0.001473
0.453,0.003613
0.108,0.008092
0.037,0.001309
0.157,0.0064
0.489,-0.001182
0.118,-0.003077
0.114,0.007947
0.175,0.003323
0.373,-0.00037
0.181,0.000653
0.144,-0.002776
0.369,8.66e-05
0.39,0.000603
0.195,-0.002365
0.404,-0.008964
0.275,-0.000995
0.454,-0.005725
0.141,0.00197
0.365,0.000504
0.067,-0.001122
0.21,-0.002195
0.168,-0.001453
0.493,0.012055
0.375,0.002131
0.4,0.000471
0.272,0.001889
0.109,-0.002636
0.248,-0.001282
0.145,-0.002807
0.092,-0.00055
0.152,-0.000349
0.367,-0.003789
0.467,-0.001232
0.083,0.001551
0.245,2.16e-05
0.165,-0.001914
0.163,-0.000624
0.199,-0.000249
0.228,0.006368
0.074,0.002808
0.478,-0.000872
0.358,0.000473
0.25,-0.002716
0.119,0.002389
0.31,0.000473
0.299,0.000994
0.255,-0.000389
0.354,0.000633
0.399,0.000488
0.225,-0.00055
0.353,-0.000359
0.234,0.011669
0.382,0.006288
0.274,0.002469
0.036,0.003307
0.196,0.007689
0.139,0.000827
0.364,-0.008503
0.244,-0.006989
0.439,-0.000254
0.286,-0.001473
0.059,0.005353
0.111,-0.001854
0.089,-0.002084
0.436,-0.00058
0.006,0.001341
0.36,0.000753
0.346,-0.004201
0.338,-0.000366
0.158,0.004209
0.15,-9.87e-05
0.177,-0.001292
0.393,-0.00071
