Time - sec,Amplitude - g
0.386,0.004564
0.019,-5.86e-05
0.322,-0.000334
0.332,-6.02e-05
0.056,-1.85e-05
0.301,-0.001523
0.229,-0.003007
0.331,0.003404
0.132,0.001277
0.137,-0.000737
0.424,0.000874
0.335,0.000333
0.025,0.004161
0.465,0.000858
0.281,0.000262
0.247,0.002775
0.237,-0.000309
0.117,0.000413
0.042,0.002953
0.22,0.003903
0.176,-0.000911
0.32,0.010783
0.153,0.001583
0.231,0.004016
0.227,0.00089
0.418,0.000455
0.203,0.002437
0.126,0.002969
0.329,-0.002436
0.031,-0.000334
0.113,-0.000189
0.471,6.87e-05
0.271,-0.002165
0.14,0.000858
0.057,-0.00043
0.192,0.000784
0.024,-0.002877
0.017,-0.00049
0.265,0.001728
0.066,0.00458
0.208,-0.001894
0.48,0.000874
0.094,-0.010509
0.253,-0.004211
0.266,0.000874
0.023,0.005724
0.222,8.48e-05
0.261,-0.002646
0.43,0.008785
0.005,-0.00054
0.116,-0.002064
0.045,0.002888
0.016,-0.004572
0.463,-0.000544
0.357,0.001519
0.003,0.002501
0.218,0.00226
0.406,0.004016
0.06,0.001599
0.11,-0.001884
0.318,0.007206
0.429,-0.001834
0.029,0.003049
0.438,0.002179
0.444,0.00052
0.026,-0.00064
0.007,0.001744
0.454,0.000192
0.108,0.003629
0.037,-0.001222
0.157,-0.000119
0.467,-8.87e-05
0.118,-0.001062
0.114,0.001825
0.175,8.66e-05
0.374,0.000282
0.181,-0.001563
0.144,-0.00047
0.37,0.003001
0.38,0.002083
0.195,3.17e-05
0.405,1.26e-05
0.275,0.000383
0.446,0.000282
0.141,0.000326
0.397,0.003436
0.067,0.000834
0.21,-0.00068
0.168,0.000198
0.494,-0.00044
0.376,-5.86e-05
0.414,-0.001001
0.272,0.000764
0.109,-7.87e-05
0.248,-0.000931
0.145,-0.000205
0.092,-0.002285
0.152,0.002002
0.368,-0.001011
0.468,0.001648
0.083,-0.001382
0.245,0.002018
0.165,0.0035
0.163,0.003275
0.199,0.008511
0.228,-0.002877
0.074,0.005079
0.479,5.17e-05
0.358,0.006255
0.25,-0.005063
0.119,4.25e-06
0.31,0.000874
0.299,0.007286
0.255,-0.00062
0.354,-0.00063
0.4,-0.000221
0.225,-0.00064
0.353,-0.002927
0.234,0.00205
0.383,0.003243
0.274,-0.002175
0.036,0.000333
0.196,-0.000309
0.139,-0.000911
0.365,0.000262
0.244,0.002711
0.44,0.005724
0.286,-0.000205
0.059,-0.00063
0.111,-0.007069
0.089,0.000804
0.437,0.006497
