Time - Voltage_1,Amplitude - Voltage_1
0.249,0.004177
0.433,-0.003499
0.019,-0.001041
0.322,-0.001212
0.332,0.00495
0.056,-0.006507
0.301,-0.000721
0.229,0.001277
0.331,-0.003158
0.132,0.000294
0.137,-7.63e-05
0.423,0.002582
0.335,-0.001483
0.025,-0.000882
0.464,-0.000931
0.281,0.003581
0.247,0.000101
0.237,-0.003198
0.117,-0.003388
0.042,0.002953
0.22,0.001454
0.176,-0.004371
0.32,-0.000811
0.153,0.002389
0.231,0.000262
0.227,0.0006
0.417,0.000423
0.203,-0.003348
0.126,0.006304
0.329,-0.000199
0.031,-0.000801
0.113,0.008575
0.47,0.005144
0.271,-0.004381
0.14,0.001084
0.057,-0.00043
0.192,0.000343
0.024,0.002211
0.017,-0.007811
0.265,0.000149
0.066,-0.00041
0.208,0.001438
0.479,0.014762
0.094,-0.001804
0.253,-0.002084
0.266,0.000584
0.023,-0.000169
0.222,0.005917
0.261,0.000443
0.426,0.000483
0.005,0.001213
0.116,-0.003799
0.045,0.000391
0.016,0.005369
0.462,0.004886
0.357,-0.001934
0.003,-0.000995
0.218,0.000242
0.405,0.00139
0.06,-0.000971
0.11,0.004805
0.318,-0.00054
0.428,0.004274
0.029,0.002211
0.437,5.17e-05
0.471,-0.01075
0.026,0.006288
0.007,0.013956
0.453,-0.000279
0.108,0.001486
0.037,0.002034
0.157,0.000262
0.489,-0.000761
0.118,-0.00042
0.114,0.000453
0.175,-0.002787
0.373,0.002904
0.181,-0.004822
0.144,-0.001533
0.369,-0.001533
0.39,-0.003418
0.195,0.000894
0.404,0.000904
0.275,0.000471
0.454,-0.002897
0.141,0.009397
0.365,-0.000882
0.067,-0.00058
0.21,-0.003208
0.168,0.000975
0.493,-0.002766
0.375,-0.002877
0.4,7.18e-05
0.272,0.006465
0.109,0.001148
0.248,0.000827
0.145,0.006304
0.092,0.00255
0.152,-0.001593
0.367,0.000616
0.467,0.000573
0.083,0.000242
0.245,-0.00045
0.165,0.008527
0.163,0.007077
0.199,-0.000447
0.228,-0.00035
0.074,-0.000834
0.478,0.006481
0.358,0.006545
0.25,0.004628
0.119,-0.00049
0.31,-0.000319
0.299,-0.000237
0.255,-0.000971
0.354,0.000583
0.399,0.007528
0.225,0.000252
0.353,-9.87e-05
0.234,-0.004532
0.382,-0.001041
0.274,-0.005815
0.036,-0.000318
0.196,-0.002566
0.139,-0.000259
0.364,0.001035
0.244,-0.00063
0.439,0.001454
0.286,-0.000237
0.059,0.000904
0.111,0.003114
0.089,0.00089
0.436,0.000102
0.006,0.005514
0.36,0.008205
0.346,0.000643
0.338,-0.000109
0.158,-0.001533
0.15,0.001938
0.177,-0.001051
