Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.003915
0.433,-0.002451
0.019,0.005373
0.322,0.009449
0.332,-0.009822
0.056,0.00041
0.301,0.004181
0.229,-0.006242
0.331,-0.001297
0.132,-0.007114
0.137,-0.0021
0.423,0.003375
0.335,0.004004
0.025,0.000878
0.464,0.000991
0.281,0.001297
0.247,0.001313
0.237,-0.001638
0.117,0.00062
0.042,-0.010755
0.22,0.00576
0.176,-0.003052
0.32,0.007306
0.153,0.003327
0.231,0.004696
0.227,0.002119
0.417,-0.00235
0.203,-0.002711
0.126,0.000266
0.329,-0.002752
0.031,-0.008538
0.113,0.003633
0.47,0.003843
0.271,0.009594
0.14,0.000121
0.057,-0.001448
0.192,-0.003454
0.024,0.000379
0.017,-0.001628
0.265,0.004487
0.066,0.001104
0.208,-0.001107
0.479,0.017456
0.094,-0.005349
0.253,1.94e-05
0.266,-0.001037
0.023,0.003987
0.222,0.011882
0.261,0.004181
0.426,0.000314
0.005,0.00199
0.116,-0.004166
0.045,0.001071
0.016,-0.002782
0.462,0.00294
0.357,-0.000957
0.003,0.005147
0.218,0.003472
0.405,-0.000469
0.06,0.004052
0.11,-0.001739
0.318,0.003053
0.428,0.000459
0.029,0.003585
0.437,0.000121
0.471,0.006098
0.026,7.25e-05
0.007,0.001104
0.453,-0.005429
0.108,0.003859
0.037,-0.001277
0.157,-0.00226
0.489,-0.00206
0.118,0.001668
0.114,-0.001307
0.175,-0.004567
0.373,-0.003183
0.181,0.006034
0.144,0.002103
0.369,-0.008147
0.39,0.000443
0.195,-0.003393
0.404,-0.002511
0.275,-0.004988
0.454,0.004922
0.141,0.00091
0.365,0.003456
0.067,0.002634
0.21,-0.001257
0.168,0.000996
0.493,-0.001498
0.375,-0.001769
0.4,-0.002531
0.272,-0.001247
0.109,-0.004045
0.248,0.00178
0.145,0.001909
0.092,0.001345
0.152,-0.006763
0.367,-0.000859
0.467,0.001136
0.083,0.000685
0.245,0.001104
0.165,-0.001327
0.163,-0.00205
0.199,0.004004
0.228,0.00207
0.074,-0.005359
0.478,0.000701
0.358,0.001265
0.25,-0.003544
0.119,0.002328
0.31,0.00083
0.299,0.011785
0.255,-0.005088
0.354,0.001168
0.399,0.015861
0.225,0.001184
0.353,0.006871
0.234,-0.00209
0.382,0.013235
0.274,-0.002631
0.036,-0.0023
0.196,-0.001688
0.139,0.011141
0.364,-0.00216
0.244,0.000959
0.439,0.011608
0.286,0.00062
0.059,0.014427
0.111,-0.007916
0.089,-0.002812
0.436,-0.002852
0.006,0.001764
0.36,-0.002731
0.346,-0.001468
0.338,0.000943
0.158,0.005792
0.15,0.005566
0.177,-0.001267
0.393,-0.007515
0.184,0.003359
0.449,-0.002952
0.01,0.000996
0.38,0.005002
0.103,0.002135
0.081,0.005889
0.038,0.000298
0.314,0.002312
0.167,0.00112
0.469,-0.005269
0.296,-0.001368
0.474,-0.00557
0.198,-0.001979
0.297,-0.001709
0.416,0.00112
0.146,0.002086
0.392,0.002264
0.147,0.000701
0.447,0.000814
0.287,0.002811
0.123,0.003794
0.368,0.00257
0.096,-0.001658
0.143,-0.003243
0.239,0.004084
0.442,0.000443
0.097,-0.0022
0.407,0.001378
0.122,-0.001969
0.183,0.003279
0.202,0.001152
0.246,0.002054
0.305,0.001974
0.298,0.003021
0.351,-0.006181
0.386,-0.001307
0.395,-0.003283
0.284,-0.003825
0.125,0.001925
0.302,0.008337
0.223,-0.002039
0.418,0.00439
0.219,0.015185
0.129,-0.002391
0.42,0.006146
0.289,-0.002641
0.444,-0.000371
0.376,-0.002491
0.291,7.25e-05
0.355,-0.00214
0.294,0.002666
0.396,-0.001979
0.34,0.005115
0.112,-0.005028
0.179,0.000169
0.307,0.001007
0.432,0.008015
0.487,0.000121
0.481,0.008644
0.422,-0.003875
0.233,-0.000957
0.311,0.010432
0.164,-0.001167
0.136,-0.00219
0.197,0.000266
0.258,0.0046
0.232,-0.002892
0.115,0.001216
0.12,0.000653
0.349,-0.003454
0.224,0.00265
0.402,0.003246
0.397,0.000204
0.127,-0.001077
0.285,0.000717
0.411,0.004374
0.107,0.000266
0.37,-0.001949
0.325,0.003311
0.133,0.002054
0.452,-0.001849
0.044,0.001571
0.46,0.001152
0.065,0.000898
0.283,0.00373
0.085,0.001345
0.242,-0.001007
0.186,0.001861
0.383,0.005357
0.159,0.002521
0.012,-0.002521
0.035,-0.002481
0.028,0.002103
0.17,0.004825
0.142,-0.001548
0.398,0.000379
0.342,0.001555
0.221,0.001104
0.095,-0.002832
0.051,0.002892
0.24,-0.00215
0.484,0.003843
0.378,0.000524
0.178,0.000153
0.041,0.009691
0.498,0.001249
0.421,-0.002601
0.206,-0.001187
0.282,0.003987
0.254,-0.005349
0.412,0.003037
0.004,0.000701
0.256,-0.001167
0.448,0.004841
0.1,0.001941
0.226,-0.001378
0.429,-0.007696
0.213,-0.002671
0.171,0.002312
0.098,0.002779
0.292,0.001136
0.215,-0.001819
0.061,0.001136
0.047,0.000312
0.032,-0.00214
0.267,0.003746
0.327,0.000975
0.2,-0.001488
0.446,0.000613
0.027,0.001651
0.424,-0.00231
0.23,-0.002742
0.26,0.005228
0.288,-0.00235
0.162,-0.006573
0.425,0.002119
0.138,0.00352
0.062,-0.002711
0.135,-0.004226
0.128,0.003375
0.476,-0.00224
0.008,0.001088
0.326,0.000798
0.463,0.002779
0.064,0.000379
0.3,-0.004958
0.014,0.008386
0.156,-0.001709
0.04,0.00692
0.379,0.009723
0.468,0.000926
0.403,0.021017
0.216,-0.001668
0.279,0.006372
0.434,-0.005028
0.43,0.00041
0.337,-0.001017
0.236,-0.001889
0.207,0.001555
0.212,0.006291
0.295,2.42e-05
0.457,-0.001759
0.251,-0.003233
0.488,0.004455
0.486,-0.001037
0.303,0.000846
0.35,0.008547
0.269,0.000798
0.201,-0.003664
0.161,0.004696
0.043,0.010335
0.217,-0.00216
0.401,-0.003664
0.19,-0.004115
0.309,-0.004968
0.259,0.010432
0.105,0.001216
0.053,-0.008318
0.389,-0.00558
0.001,0.003311
0.441,-0.006011
0.482,-0.003935
0.049,-0.001227
0.419,0.016908
0.08,0.003488
0.205,0.004584
0.034,0.009723
0.263,-0.001749
0.427,0.00149
0.366,0.000975
0.091,-0.003484
0.339,0.012929
0.473,-0.003494
0.052,-0.004015
0.345,0.001813
0.264,-0.003313
0.241,-0.001488
0.013,-0.004256
0.315,0.000298
0.088,0.003778
0.387,0.001925
0.273,-0.00213
0.166,0.002328
0.328,0.003327
0.492,-0.004978
0.134,-0.00226
0.306,0.003037
0.48,0.006034
0.319,0.010529
0.243,0.001925
0.054,-0.001017
0.363,-0.001438
0.05,0.005872
0.456,0.000959
0.174,0.003424
0.445,0.005292
0.189,0.000798
0.496,-0.001117
0.187,-0.001458
0.169,-0.005871
0.058,0.00112
0.048,0.000556
0.344,-0.007906
0.235,-0.003303
0.252,-0.004657
0.021,0.006501
0.313,-0.003674
0.459,0.003601
0.16,0.016763
0.276,-0.000176
0.443,0.001168
0.191,-0.000273
0.385,0.004229
0.293,-0.00206
0.413,-0.006583
0.343,0.000604
0.257,-0.00235
0.308,0.003391
0.149,0.001265
0.13,-0.004456
0.151,-0.004326
0.359,0.013267
0.099,0.002425
0.372,-0.003273
0.087,0.001764
0.458,0.002344
0.33,-0.003303
0.214,0.000959
0.466,0.003053
0.121,0.006533
0.499,0.004277
0.02,0.005437
0.188,0.005325
0.071,-0.003795
0.106,0.001249
0.27,0.00526
0.348,-0.001317
0.435,-0.002892
0.102,0.002699
