Time - Voltage_1,Amplitude - Voltage_1
0.249,0.009546
0.433,-0.006141
0.019,-0.006693
0.322,-0.015639
0.332,0.017537
0.056,0.002683
0.301,0.002715
0.229,-0.001678
0.331,-0.00219
0.132,0.003166
0.137,0.005099
0.423,0.000878
0.335,-0.001558
0.025,0.008096
0.464,0.004439
0.281,-0.009972
0.247,0.005969
0.237,0.001941
0.117,-0.007596
0.042,-0.002701
0.22,-0.002992
0.176,0.001845
0.32,0.003424
0.153,0.000798
0.231,0.015185
0.227,0.005792
0.417,-0.001047
0.203,-0.00212
0.126,0.004213
0.329,0.016264
0.031,-0.001187
0.113,0.000943
0.47,0.003375
0.271,0.002521
0.14,0.000312
0.057,-0.004517
0.192,-0.00216
0.024,0.00729
0.017,-0.001678
0.265,-0.002661
0.066,0.002844
0.208,0.014572
0.479,-0.001327
0.094,0.004245
0.253,0.002328
0.266,0.005969
0.023,-0.001979
0.222,-0.003925
0.261,0.01098
0.426,-0.001398
0.005,-0.003574
0.116,-0.007706
0.045,0.001587
0.016,0.000298
0.462,-0.001478
0.357,-0.001959
0.003,-0.001237
0.218,0.004729
0.405,-0.001157
0.06,-0.003875
0.11,0.018326
0.318,-0.004527
0.428,0.011721
0.029,0.000427
0.437,0.001345
0.471,0.003714
0.026,0.001829
0.007,0.004052
0.453,0.008805
0.108,-0.004406
0.037,-0.004406
0.157,-0.002892
0.489,0.005099
0.118,0.001168
0.114,0.002296
0.175,0.001587
0.373,0.001877
0.181,0.001136
0.144,-0.000273
0.369,0.012849
0.39,0.004954
0.195,0.001281
0.404,-0.006763
0.275,0.002248
0.454,0.002795
0.141,-0.002411
0.365,0.00149
0.067,-0.003273
0.21,-0.008227
0.168,0.014218
0.493,0.00895
0.375,0.000218
0.4,0.001893
0.272,0.001007
0.109,0.016989
0.248,0.006597
0.145,0.000491
0.092,0.004535
0.152,0.000862
0.367,0.003714
0.467,-0.002701
0.083,-0.001368
0.245,-0.00229
0.165,0.002828
0.163,-0.001979
0.199,-0.001628
0.228,-0.002531
0.074,-0.001999
0.478,0.000669
0.358,-0.006091
0.25,0.001506
0.119,-0.003243
0.31,0.0041
0.299,-0.003885
0.255,0.001716
0.354,0.002924
0.399,-0.002982
0.225,-0.001899
0.353,0.001796
0.234,-0.001498
0.382,0.01475
0.274,0.000605
0.036,-0.002601
0.196,-0.003674
0.139,-0.007746
0.364,-0.002832
0.244,-0.001638
0.439,-0.004095
0.286,0.001184
0.059,-0.007204
0.111,0.00033
0.089,-0.007395
0.436,0.003021
0.006,0.004245
0.36,-0.00226
0.346,-0.001989
0.338,0.001313
0.158,-0.004918
0.15,0.01309
0.177,-0.003283
0.393,0.000234
0.184,-0.001909
0.449,0.011898
0.01,0.011141
0.38,-0.010755
0.103,0.000234
0.081,-0.006573
