Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.003915
0.433,-0.003785
0.019,0.017279
0.322,-0.001428
0.332,-0.00225
0.056,-0.003283
0.301,0.007145
0.229,0.006098
0.331,0.005985
0.132,-0.003644
0.137,-0.003062
0.423,-0.005138
0.335,-0.003012
0.025,0.004213
0.464,0.004874
0.281,0.007226
0.247,-0.001087
0.237,-0.001327
0.117,-0.00238
0.042,0.005099
0.22,0.004004
0.176,-0.002029
0.32,-0.001969
0.153,0.002248
0.231,-0.007666
0.227,0.000491
0.417,0.000604
0.203,0.016747
0.126,0.004326
0.329,0.002167
0.031,0.006533
0.113,0.000266
0.47,-0.0022
0.271,-0.006141
0.14,0.00526
0.057,-0.001729
0.192,-0.004075
0.024,0.00808
0.017,-0.00212
0.265,2.42e-05
0.066,-0.001007
0.208,0.001007
0.479,0.002892
0.094,0.000814
0.253,-0.004948
0.266,0.000636
0.023,-0.0023
0.222,-0.004597
0.261,0.001909
0.426,-0.001739
0.005,8.1e-06
0.116,8.87e-05
0.045,0.007741
0.016,-0.00222
0.462,5.64e-05
0.357,-0.001007
0.003,-0.000469
0.218,-0.001037
0.405,-7.82e-05
0.06,-0.00229
0.11,0.000524
0.318,0.00207
0.428,0.002973
0.029,-0.004787
0.437,-0.002391
0.471,0.001055
0.026,-0.001067
0.007,-0.001678
0.453,0.007387
0.108,0.003875
0.037,0.001007
0.157,-0.00206
0.489,-0.006512
0.118,0.00091
0.114,-0.007686
0.175,-0.003574
0.373,2.42e-05
0.181,0.008917
0.144,-0.003885
0.369,-0.003454
0.39,-0.001107
0.195,-0.00225
0.404,-0.003774
0.275,-0.00567
0.454,0.010529
0.141,-0.00227
0.365,-0.002852
0.067,-0.001227
0.21,-0.003133
0.168,0.002312
0.493,0.013042
0.375,-0.007896
0.4,0.010335
0.272,0.002683
0.109,0.002538
0.248,-0.001929
0.145,0.005115
0.092,-0.004968
0.152,0.003504
0.367,0.004068
0.467,0.001571
0.083,0.004036
0.245,0.002699
0.165,0.002054
0.163,-0.007565
0.199,-0.002029
0.228,0.002296
0.074,0.010045
0.478,0.00315
0.358,0.000701
0.25,-0.001498
0.119,0.005373
0.31,-0.003093
0.299,0.007741
0.255,-0.002862
0.354,0.006694
0.399,0.003681
0.225,-0.004286
0.353,0.003843
0.234,0.00091
0.382,0.003311
0.274,-0.008498
0.036,-0.003935
0.196,-0.002029
0.139,0.00982
0.364,0.005824
0.244,-0.006352
0.439,0.009626
0.286,-0.00229
0.059,0.001361
0.111,-0.003082
0.089,-0.004497
0.436,-0.002912
0.006,0.005615
0.36,0.011092
0.346,0.003021
0.338,-0.001358
0.158,0.000636
0.15,0.002844
0.177,-0.002421
0.393,0.002473
0.184,0.000312
0.449,-0.00569
0.01,-0.000273
0.38,0.002264
0.103,-0.003082
0.081,0.006034
0.038,0.000215
0.314,-0.001658
0.167,0.001523
0.469,-0.001257
0.296,-0.001187
0.474,0.011109
0.198,0.002425
0.297,-0.003704
0.416,-0.003985
0.146,-0.002471
0.392,0.001893
0.147,2.42e-05
0.447,-0.001187
0.287,-0.001037
0.123,-0.003002
0.368,-0.001207
0.096,0.000411
0.143,0.006469
0.239,0.007693
0.442,-0.001729
0.097,-0.002681
0.407,-0.000859
0.122,0.006984
0.183,0.007049
0.202,0.010094
0.246,-0.000957
0.305,0.006614
0.298,0.005405
0.351,-0.004807
0.386,0.002054
0.395,-0.001699
0.284,-0.00209
0.125,0.002811
0.302,0.008337
0.223,0.014218
0.418,-0.001378
0.219,0.014476
0.129,0.002344
0.42,0.004745
0.289,0.002505
0.444,0.00402
0.376,-0.001648
0.291,-0.005028
0.355,-0.00578
0.294,-0.005369
0.396,0.000926
0.34,0.007339
0.112,-0.006061
0.179,0.01359
0.307,0.003021
0.432,-0.006372
0.487,-0.001508
0.481,-0.001037
0.422,0.003391
0.233,-0.001147
0.311,0.001152
0.164,0.008595
0.136,-0.003323
0.197,-0.00223
0.258,0.003375
0.232,-0.00233
0.115,-0.002832
0.12,0.005389
0.349,-0.006773
0.224,0.00576
0.402,-0.003173
0.397,-0.002019
0.127,-0.001147
