Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.004657
0.433,-0.00211
0.019,-0.001638
0.322,0.002747
0.332,-0.004747
0.056,0.012414
0.301,-0.003183
0.229,-0.001809
0.331,-0.009441
0.132,-0.004236
0.137,0.002328
0.423,0.003375
0.335,-0.001267
0.025,0.003085
0.464,0.003536
0.281,-0.003674
0.247,0.000798
0.237,0.00041
0.117,0.003875
0.042,-0.001849
0.22,0.004229
0.176,0.011237
0.32,0.003118
0.153,-0.002481
0.231,0.000717
0.227,-0.002952
0.417,-0.007285
0.203,0.000215
0.126,-0.004156
0.329,0.00729
0.031,-0.002671
0.113,-0.003494
0.47,0.004986
0.271,0.002699
0.14,-0.005239
0.057,0.003681
0.192,0.002167
0.024,-0.000762
0.017,0.005437
0.265,0.00083
0.066,-0.004095
0.208,0.001474
0.479,-0.00209
0.094,-0.002581
0.253,-0.003875
0.266,0.002167
0.023,0.00323
0.222,0.001104
0.261,0.004777
0.426,-0.001979
0.005,0.002022
0.116,0.007629
0.045,0.002264
0.016,0.007339
0.462,0.000363
0.357,0.009079
0.003,0.00178
0.218,-0.004226
0.405,0.006372
0.06,-0.002842
0.11,-0.00223
0.318,0.000201
0.428,-0.009772
0.029,-0.001568
0.437,0.004181
0.471,0.002473
0.026,0.001104
0.007,-0.004296
0.453,-0.002932
0.108,0.009433
0.037,0.009514
0.157,0.008579
0.489,-0.004948
0.118,0.010625
0.114,0.000427
0.175,-0.001227
0.373,-0.005229
0.181,0.006017
0.144,0.00054
0.369,-0.001709
0.39,-0.000469
0.195,0.001329
0.404,-0.00236
0.275,0.00178
0.454,-0.001568
0.141,0.00787
0.365,0.004165
0.067,-0.004015
0.21,-0.003393
0.168,0.0012
0.493,-0.003434
0.375,-0.002742
0.4,0.017037
0.272,-0.001398
0.109,-0.003694
0.248,0.000475
0.145,0.001603
0.092,-0.00212
0.152,-0.010524
0.367,0.003907
0.467,-0.004797
0.083,0.005534
0.245,-0.001558
0.165,0.003681
0.163,0.002747
0.199,-0.00236
0.228,-0.003153
0.074,-0.001578
0.478,0.008096
0.358,0.000556
0.25,-0.003474
0.119,-0.000859
0.31,-0.001077
0.299,-0.006783
0.255,-0.003283
0.354,-0.001558
0.399,-0.002039
0.225,0.001974
0.353,-0.003243
0.234,0.000121
0.382,-0.001779
0.274,-0.003785
0.036,0.006179
0.196,0.00874
0.139,-0.006653
0.364,-0.001468
0.244,0.001249
0.439,-0.001237
0.286,-0.00234
0.059,5.64e-05
0.111,-0.004757
0.089,-0.005971
0.436,0.006001
0.006,0.001474
0.36,0.003601
0.346,-0.00238
0.338,-0.005921
0.158,0.005518
0.15,0.006614
0.177,0.002151
0.393,-0.005108
0.184,0.000653
0.449,-0.007385
0.01,-0.004477
0.38,0.002715
0.103,0.001603
0.081,-0.007926
0.038,-0.001147
0.314,-0.002882
0.167,0.006307
0.469,0.004326
0.296,0.002183
0.474,0.000443
0.198,0.003585
0.297,8.87e-05
0.416,0.010239
0.146,0.000204
0.392,-0.004206
0.147,-0.004266
0.447,-0.004607
0.287,-0.003714
0.123,0.004004
0.368,-0.008257
0.096,0.004954
0.143,0.001748
0.239,0.007757
0.442,-0.00211
0.097,0.003375
0.407,-0.003032
0.122,-0.004777
0.183,0.000781
0.202,-0.003714
0.246,-0.003243
0.305,0.000898
0.298,-0.005118
0.351,-0.006853
0.386,-0.005209
0.395,-0.002671
0.284,-0.001087
0.125,0.003778
0.302,-0.003975
0.223,5.64e-05
0.418,-0.003173
0.219,-0.004787
0.129,0.00663
0.42,0.009352
0.289,-0.00223
0.444,0.001523
0.376,0.008241
0.291,-0.007134
0.355,0.000717
0.294,-0.002812
0.396,0.014637
0.34,0.005856
0.112,0.005067
0.179,0.002199
0.307,-0.002511
0.432,-0.008277
0.487,-0.004266
0.481,0.001651
0.422,0.000105
0.233,-0.004376
0.311,-0.008478
0.164,0.000215
0.136,0.005921
0.197,0.007774
0.258,0.007016
0.232,-0.008498
0.115,-0.002621
0.12,0.019502
0.349,-0.004035
0.224,0.000798
0.402,-0.00559
0.397,0.003762
0.127,-0.005169
0.285,0.003891
0.411,-0.013222
0.107,-0.00565
0.37,-0.001528
0.325,0.000814
0.133,-0.004206
0.452,-0.008137
0.044,0.000588
0.46,0.004745
0.065,0.004197
0.283,0.003681
0.085,0.00634
0.242,0.003971
0.186,-0.002922
0.383,0.002167
0.159,0.005325
0.012,-0.004426
0.035,-0.001067
0.028,-0.003333
0.17,-0.004998
0.142,0.001861
0.398,0.007081
0.342,0.001474
0.221,0.008273
0.095,0.000556
0.051,-0.004426
0.24,0.003182
0.484,-0.001007
0.378,-0.000859
0.178,0.005341
0.041,0.006775
0.498,0.007484
0.421,0.002441
0.206,-0.004115
0.282,-0.002942
0.254,-0.001067
0.412,0.008225
0.004,0.00228
0.256,0.011898
0.448,-0.006181
0.1,-0.003012
0.226,0.000395
0.429,-0.002691
0.213,-0.004818
0.171,-0.010434
0.098,0.002602
0.292,-0.00551
0.215,-0.001749
0.061,0.003246
0.047,-0.003072
0.032,0.005115
0.267,-0.005389
0.327,-0.003774
0.2,0.003633
0.446,-0.002752
0.027,-0.001939
0.424,0.000926
0.23,-0.002802
0.26,0.001716
0.288,-0.006863
0.162,-0.002952
0.425,0.001668
0.138,-0.001207
0.062,0.000117
0.135,-0.001528
0.128,-0.00555
0.476,0.009336
0.008,-0.003704
0.326,-0.001578
0.463,0.000798
0.064,-0.000957
0.3,0.004745
0.014,-0.001488
0.156,0.011399
0.04,0.005454
0.379,0.002296
0.468,0.005566
0.403,0.006001
0.216,0.010013
0.279,0.007097
0.434,-0.001438
0.43,-0.002481
0.337,0.011946
0.236,0.010754
0.207,0.002167
0.212,0.007467
0.295,0.002634
0.457,0.004857
0.251,-0.006442
0.488,-0.002752
0.486,-0.003393
0.303,0.002828
0.35,0.010529
0.269,0.002473
0.201,0.002264
0.161,0.000312
0.043,0.002876
0.217,-0.00227
0.401,-0.002471
0.19,-0.003253
0.309,-0.00914
0.259,-0.004727
0.105,0.000943
0.053,-0.003323
0.389,-0.003985
0.001,0.009916
0.441,-0.005269
0.482,0.004374
0.049,0.002715
0.419,0.002376
0.08,0.002892
0.205,0.003971
0.034,-0.001307
0.263,0.004181
0.427,0.003649
0.366,-0.003855
0.091,-0.006442
0.339,0.00294
0.473,-0.001127
0.052,0.000717
0.345,0.001007
0.264,0.000991
0.241,0.000266
0.013,-0.001839
0.315,0.000894
0.088,0.000169
0.387,0.001974
0.273,0.001249
0.166,0.003391
0.328,-0.004166
0.492,-0.004456
0.134,0.000556
0.306,-0.001207
0.48,0.003536
0.319,0.005051
0.243,0.000765
0.054,-0.001889
0.363,0.004277
0.05,-0.003594
0.456,0.004632
0.174,0.000508
0.445,-0.001087
0.189,-0.003845
0.496,0.010996
0.187,0.001958
0.169,0.002248
0.058,0.000363
0.048,0.000137
0.344,0.00025
0.235,-0.001408
0.252,-0.001929
0.021,0.006211
0.313,0.000137
0.459,-0.007455
0.16,0.002892
0.276,0.002715
0.443,0.001088
0.191,-0.005961
0.385,0.002457
0.293,-0.001548
0.413,-0.003373
0.343,0.001329
0.257,0.00874
0.308,0.002103
0.149,0.002924
0.13,0.003053
0.151,-0.008217
0.359,0.002086
0.099,0.009755
0.372,-0.001668
0.087,-0.003042
0.458,0.001007
0.33,-0.007335
0.214,0.001474
0.466,0.001941
0.121,0.00816
0.499,0.00207
0.02,0.00257
0.188,-0.004737
0.071,0.01106
0.106,0.003617
0.27,-0.002972
0.348,-0.004998
0.435,-0.001277
0.102,0.002973
