Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.006823
0.433,0.000185
0.019,0.007564
0.322,0.003359
0.332,-0.002481
0.056,-0.001398
0.301,0.00025
0.229,0.013783
0.331,0.000379
0.132,-0.001157
0.137,0.004342
0.423,0.000234
0.335,0.008321
0.025,0.003681
0.464,0.003263
0.281,0.002409
0.247,-0.005028
0.237,0.00584
0.117,0.001925
0.042,0.000975
0.22,0.004149
0.176,-0.001598
0.32,0.002763
0.153,-0.001468
0.231,-0.004055
0.227,-0.002551
0.417,0.002602
0.203,0.000234
0.126,0.000395
0.329,0.000898
0.031,-0.004948
0.113,0.001958
0.47,-0.003845
0.271,-0.003704
0.14,0.004954
0.057,-0.001508
0.192,-0.002802
0.024,-0.003795
0.017,0.00352
0.265,-0.006633
0.066,-0.003484
0.208,0.005147
0.479,-0.004647
0.094,0.010867
0.253,1.94e-05
0.266,-0.003163
0.023,-0.000469
0.222,0.003955
0.261,0.002006
0.426,-0.004466
0.005,-0.003835
0.116,0.006549
0.045,-0.004497
0.016,0.001925
0.462,0.002215
0.357,0.002264
0.003,0.001813
0.218,-0.001869
0.405,-0.005219
0.06,-0.002601
0.11,-0.004136
0.318,0.001474
0.428,-0.013212
0.029,-0.001588
0.437,-0.002501
0.471,0.000459
0.026,-0.008308
0.007,-0.001037
0.453,-0.001177
0.108,0.001233
0.037,0.003279
0.157,-0.003363
0.489,-0.006141
0.118,0.002844
0.114,0.004455
0.175,-0.004306
0.373,0.000701
0.181,0.000459
0.144,-0.003855
0.369,0.000765
0.39,-0.00902
0.195,0.003665
0.404,-0.003434
0.275,-0.0022
0.454,0.011382
0.141,0.002038
0.365,0.006436
0.067,-0.001648
0.21,0.010786
0.168,0.001909
0.493,-0.000371
0.375,0.003295
0.4,-0.004487
0.272,-0.001809
0.109,-0.003694
0.248,0.004245
0.145,-0.001117
0.092,0.000801
0.152,-0.001237
0.367,-0.005931
0.467,-0.00218
0.083,0.004986
0.245,-0.004115
0.165,-0.00228
0.163,0.003359
0.199,-0.005339
0.228,2.42e-05
0.074,0.008047
