Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.000231
0.433,-0.003942
0.019,-0.001886
0.322,0.004137
0.332,-0.000121
0.056,-0.002517
0.301,-0.000401
0.229,0.000593
0.331,0.001672
0.132,-0.000341
0.137,0.00048
0.423,0.002461
0.335,-0.001765
0.025,0.004121
0.464,0.005619
0.281,-0.001324
0.247,-0.001926
0.237,-0.001685
0.117,-0.003099
0.042,0.006006
0.22,-0.001023
0.176,0.008245
0.32,-0.001444
0.153,-0.002247
0.231,0.000673
0.227,-0.001404
0.417,-1.02e-05
0.203,0.007069
0.126,-0.001304
0.329,0.003605
0.031,0.002977
0.113,0.001124
0.47,0.000415
0.271,0.002349
0.14,-0.001174
0.057,-0.00674
0.192,0.005249
0.024,-0.000708
0.017,0.004781
0.265,0.004169
0.066,-0.005326
0.208,0.002043
0.479,-0.001184
0.094,0.002768
0.253,-0.001825
0.266,0.003251
0.023,0.004024
0.222,0.002445
0.261,-0.000708
0.426,0.007069
0.005,-0.004914
0.116,-0.002929
0.045,0.008777
0.016,-0.006639
0.462,0.00694
0.357,-0.001234
0.003,0.00367
0.218,-0.005125
0.405,-0.005356
0.06,0.00019
0.11,0.000464
0.318,3.99e-05
0.428,0.001962
0.029,0.002526
0.437,-0.006138
0.471,0.002381
0.026,0.012241
0.007,0.006425
0.453,-0.002447
0.108,0.00512
0.037,-0.007031
0.157,-0.005787
0.489,0.000512
0.118,0.001753
0.114,0.006538
0.175,0.004073
0.373,-8.04e-05
0.181,0.001817
0.144,0.003589
0.369,3.99e-05
0.39,0.000122
0.195,0.000309
0.404,-0.000742
0.275,0.000945
0.454,-0.005857
0.141,0.000931
0.365,0.010308
0.067,0.001591
0.21,0.000705
0.168,-0.000708
0.493,-0.005556
0.375,-0.005566
0.4,-0.000326
0.272,-0.000121
0.109,0.001865
0.248,-0.000199
0.145,0.005877
0.092,0.001769
0.152,0.000564
0.367,0.000947
0.467,0.001881
0.083,0.001092
0.245,0.010211
0.165,0.007456
0.163,0.002864
0.199,-0.00335
0.228,0.006328
0.074,0.006844
0.478,0.00135
0.358,0.000754
0.25,0.001366
0.119,-0.001805
0.31,0.001108
0.299,0.000399
0.255,-0.009508
0.354,-0.002046
0.399,-0.002377
0.225,0.003138
0.353,-0.003651
0.234,-0.000962
0.382,0.004282
0.274,0.007859
0.036,-0.003059
0.196,-0.001133
0.139,-0.000835
0.364,0.000174
0.244,-0.003049
0.439,-0.002447
0.286,0.012354
0.059,-0.000482
0.111,0.000754
0.089,0.000593
0.436,-0.00353
0.006,-0.001033
0.36,-0.002197
0.346,-0.001184
0.338,-0.001515
0.158,-0.000803
0.15,0.002832
0.177,0.005088
0.393,-0.003641
0.184,0.00338
0.449,0.004798
0.01,0.000963
0.38,-0.001705
0.103,0.008245
0.081,-0.000742
0.038,-0.003099
0.314,0.0057
0.167,0.016349
0.469,7.71e-05
0.296,-0.001043
0.474,0.010871
0.198,0.004218
0.297,-0.000401
0.416,-0.001926
0.146,0.004959
0.392,-1.8e-07
0.147,0.0057
0.447,0.01013
0.287,0.002768
0.123,0.006231
0.368,0.00396
0.096,-0.008064
0.143,0.001833
0.239,0.004508
0.442,0.000125
0.097,-0.002868
