Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.002114
0.433,-0.002876
0.019,0.001458
0.322,0.008643
0.332,-0.001332
0.056,0.003762
0.301,-0.001412
0.229,-0.00057
0.331,-7.29e-05
0.132,0.002553
0.137,-0.003709
0.423,0.005663
0.335,-0.001994
0.025,-1.8e-05
0.464,-0.003047
0.281,-0.002114
0.247,0.000572
0.237,-0.001753
0.117,-0.002445
0.042,-0.000459
0.22,-0.003077
0.176,-0.004722
0.32,-0.001944
0.153,-0.00081
0.231,-3.8e-05
0.227,-0.004972
0.417,-0.008302
0.203,0.00758
0.126,-0.00433
0.329,-0.002686
0.031,0.001748
0.113,-0.000128
0.47,-0.000476
0.271,-0.00059
0.14,-0.005845
0.057,-0.002585
0.192,0.004293
0.024,0.006774
0.017,-0.00421
0.265,-0.003297
0.066,-0.002706
0.208,0.017859
0.479,-0.000158
0.094,0.003182
0.253,-0.005113
0.266,-0.001302
0.023,-0.000188
0.222,-0.000186
0.261,-0.00078
0.426,-0.003498
0.005,0.012284
0.116,-0.004922
0.045,0.004406
0.016,-0.002164
0.462,-0.000959
0.357,-0.000449
0.003,-0.00068
0.218,-0.006537
0.405,0.016747
0.06,-0.00413
0.11,0.000104
0.318,-0.003859
0.428,0.006291
0.029,0.007709
0.437,0.001732
0.471,-0.000105
0.026,-0.003578
0.007,0.0128
0.453,-0.010839
0.108,0.014298
0.037,0.016312
0.157,0.015458
0.489,0.003939
0.118,-0.003368
0.114,-0.003277
0.175,-0.003568
0.373,0.002537
0.181,1.77e-05
0.144,0.006984
0.369,0.000717
0.39,-0.00063
0.195,-0.002696
0.404,-0.007038
0.275,-0.00423
0.454,0.006758
0.141,-0.002014
0.365,0.007322
0.067,0.009803
0.21,-0.000492
0.168,0.008353
0.493,-0.006276
0.375,-0.001783
0.4,-0.000991
0.272,0.002682
0.109,0.000926
0.248,-0.005805
0.145,0.011978
0.092,0.000346
0.152,0.001587
0.367,0.004873
0.467,0.00215
0.083,0.001506
0.245,-0.000782
0.165,-0.001813
0.163,0.003149
0.199,-0.004762
0.228,0.003762
0.074,-0.004481
0.478,-0.004521
0.358,-0.001964
0.25,0.004374
0.119,-0.001763
0.31,-0.001452
0.299,-7.81e-05
0.255,0.006903
0.354,-0.003909
0.399,-0.004772
0.225,-8.82e-05
0.353,-0.004581
0.234,-0.003859
0.382,0.00758
0.274,0.000185
0.036,-0.000717
0.196,-0.005945
0.139,-0.004882
0.364,0.003455
0.244,0.011688
0.439,-0.002806
0.286,-0.000298
0.059,0.000233
0.111,-0.001081
0.089,0.001232
0.436,-0.010769
0.006,-0.001933
0.36,-0.00075
0.346,-4.8e-05
0.338,-0.008071
0.158,-0.002254
0.15,-0.000369
0.177,0.006066
0.393,-0.000153
0.184,-0.008382
0.449,0.000523
0.01,0.007209
0.38,-0.001231
0.103,0.005566
0.081,-0.002575
0.038,-0.004621
0.314,3.06e-06
0.167,0.001941
0.469,0.002022
0.296,-0.001552
0.474,-0.00779
0.198,-0.003979
0.297,0.002602
0.416,-0.005484
0.146,-0.001031
0.392,-0.008071
0.147,-0.00067
0.447,-0.005684
0.287,0.004664
0.123,0.012317
0.368,0.000765
0.096,-0.01127
0.143,0.003262
0.239,-0.009345
0.442,0.015813
0.097,0.007612
0.407,-0.001522
0.122,-0.004511
0.183,0.006517
