Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.00771
0.433,-0.00424
0.019,0.001345
0.322,0.00294
0.332,-0.002686
0.056,7.21e-05
0.301,-0.000411
0.229,0.001877
0.331,-0.003929
0.132,-0.002936
0.137,-0.000975
0.423,0.005034
0.335,-0.001603
0.025,-0.012534
0.464,-0.001502
0.281,0.002473
0.247,-0.013938
0.237,0.002666
0.117,-0.005343
0.042,-0.00776
0.22,2.38e-05
0.176,-7.81e-05
0.32,-0.008312
0.153,0.002569
0.231,-0.003638
0.227,-0.000605
0.417,0.006678
0.203,-0.000395
0.126,-0.003638
0.329,-0.001813
0.031,-0.00054
0.113,0.010673
0.47,0.008547
0.271,-0.011932
0.14,0.003842
0.057,-0.001071
0.192,-0.003067
0.024,-0.002946
0.017,0.006259
0.265,-0.000479
0.066,0.003907
0.208,-0.00427
0.479,0.007773
0.094,0.00497
0.253,-0.001803
0.266,-0.00082
0.023,0.001264
0.222,0.002473
0.261,0.003649
0.426,0.001297
0.005,-0.002636
0.116,-0.003277
0.045,-0.00416
0.016,-0.002565
0.462,-0.003568
0.357,-0.007419
0.003,0.002489
0.218,0.004728
0.405,-0.001542
0.06,0.000314
0.11,-0.000279
0.318,0.010174
0.428,-0.008653
0.029,-0.002555
0.437,0.003133
0.471,-0.001863
0.026,-0.008282
0.007,-0.014139
0.453,-0.005745
0.108,0.000813
0.037,-0.00064
0.157,0.005824
0.489,-0.005775
0.118,-0.001452
0.114,0.002956
0.175,-0.002736
0.373,-0.002425
0.181,-7.81e-05
0.144,-0.002335
0.369,-0.007289
0.39,0.005034
0.195,-0.00058
0.404,0.004841
0.275,0.005695
0.454,-0.003257
0.141,-0.000427
0.365,0.000362
0.067,0.003891
0.21,-0.000269
0.168,0.014024
0.493,-0.007931
0.375,-0.001171
0.4,0.001039
0.272,-0.003057
0.109,-0.005714
0.248,-0.010388
0.145,-0.008011
0.092,0.004567
0.152,-0.001141
0.367,-0.000153
0.467,0.001425
0.083,-0.000218
0.245,-0.006256
0.165,-1.8e-05
0.163,-0.002886
0.199,-0.000202
0.228,0.001619
0.074,0.007097
0.478,0.003745
0.358,0.006887
0.25,-0.000941
0.119,0.005067
0.31,-0.001843
0.299,0.012832
0.255,0.006952
0.354,-0.001933
0.399,-0.002274
0.225,-0.00058
0.353,-0.004371
0.234,-0.000369
0.382,0.012655
0.274,-4.8e-05
0.036,0.007032
0.196,0.00033
0.139,-0.000443
0.364,-8.41e-06
0.244,-0.002124
0.439,0.006001
0.286,-0.005063
0.059,8.83e-05
0.111,-0.002495
0.089,-0.004882
0.436,-0.003007
0.006,-0.004611
0.36,0.005518
0.346,-0.001933
0.338,0.016361
0.158,-0.006336
0.15,-0.005263
0.177,-0.00054
0.393,-0.006106
0.184,0.004922
0.449,-0.009054
0.01,-0.000669
0.38,-0.00065
0.103,-0.002164
0.081,0.00207
0.038,0.005018
0.314,0.001425
0.167,0.001796
0.469,-0.000991
0.296,0.00331
0.474,-0.000971
0.198,-8.82e-05
0.297,-0.001231
0.416,-0.001342
0.146,-0.002244
0.392,-0.002365
0.147,-0.000469
0.447,0.002602
0.287,0.004052
0.123,-0.001923
0.368,-0.004902
0.096,0.001989
0.143,0.001909
0.239,0.000362
0.442,8.83e-05
0.097,0.004197
0.407,-0.003929
0.122,-0.000229
0.183,-0.00405
0.202,0.001828
0.246,-0.006828
0.305,0.000652
0.298,0.004342
0.351,-0.004531
0.386,0.001748
0.395,-0.000519
0.284,0.00244
0.125,-0.004792
0.302,0.002005
0.223,-0.00069
0.418,0.005502
0.219,-0.004571
0.129,-0.001984
0.42,-0.002104
0.289,-0.002575
0.444,0.004293
0.376,-0.000621
0.291,-0.003829
0.355,-0.001823
0.294,-0.001011
0.396,-0.001191
0.34,0.000572
0.112,0.006726
0.179,-0.001673
0.307,-0.002405
0.432,0.006758
0.487,0.001989
0.481,-0.008553
0.422,0.001989
0.233,-0.00062
0.311,-0.004802
0.164,-0.000443
0.136,0.007306
0.197,0.006033
0.258,0.009062
0.232,-0.00087
0.115,-0.000479
0.12,-0.000605
0.349,0.007628
0.224,0.003101
0.402,7.6e-05
0.397,0.003375
0.127,-0.002315
0.285,-0.002646
0.411,0.004164
0.107,-0.000279
0.37,-0.006587
0.325,0.002424
0.133,0.002199
0.452,-0.010027
0.044,0.001071
0.46,0.013686
0.065,-0.003277
0.283,-0.001191
0.085,-0.003779
0.242,0.00062
0.186,-0.010679
0.383,-0.00081
0.159,0.00323
0.012,0.008676
0.035,0.010754
0.028,-0.003628
0.17,-0.009425
0.142,-0.000846
0.398,0.002457
0.342,-0.001593
0.221,-0.000798
0.095,-0.001753
0.051,-0.000846
0.24,3.06e-06
0.484,-0.002676
0.378,-0.003117
0.178,-0.008583
0.041,8.83e-05
0.498,0.00215
0.421,-0.006467
0.206,0.008112
0.282,0.000427
0.254,0.001683
0.412,-0.009706
0.004,-0.001492
0.256,0.001119
0.448,-0.002134
0.1,0.001522
0.226,-0.005624
0.429,-0.00427
0.213,-0.001452
0.171,-0.000572
0.098,0.000652
0.292,-0.00434
0.215,0.007145
0.061,-0.000605
0.047,-0.002866
0.032,0.005711
0.267,0.002553
0.327,-0.01103
0.2,-0.00017
0.446,0.000652
0.027,-0.003107
0.424,-6.81e-05
0.23,-0.001873
0.26,0.001909
0.288,-0.002766
0.162,0.00244
0.425,0.001635
0.138,0.004132
0.062,-0.003658
0.135,0.001297
0.128,-0.010308
0.476,-0.000653
0.008,-0.002806
0.326,-0.00017
0.463,0.00012
0.064,-0.000621
0.3,0.006871
0.014,0.006823
0.156,-0.0043
0.04,0.000781
0.379,0.010061
0.468,-0.001201
0.403,-0.003929
0.216,-0.00075
0.279,0.014137
0.434,-0.001502
0.43,-0.005845
0.337,0.000427
0.236,0.007725
0.207,-0.003047
0.212,-0.002264
0.295,0.001619
0.457,-0.001161
0.251,-0.00757
0.488,-0.000862
0.486,-0.00087
0.303,0.002457
0.35,0.005647
0.269,0.002972
0.201,-0.000556
0.161,-0.00058
0.043,-0.000556
0.217,0.000362
0.401,-0.000605
0.19,-0.005755
0.309,0.007918
0.259,-0.003328
0.105,-0.006507
0.053,0.000652
0.389,-0.006396
0.001,-0.001512
0.441,-0.002405
0.482,-0.002385
0.049,-0.006045
0.419,0.001538
0.08,-0.0007
0.205,-0.005313
0.034,0.004132
0.263,0.003133
0.427,-0.002415
0.366,-0.00081
0.091,-0.002305
0.339,0.001603
0.473,-0.005955
0.052,0.005614
0.345,0.002795
0.264,-0.002485
0.241,0.004889
0.013,0.00331
0.315,-0.001482
0.088,-0.004742
0.387,-0.000605
0.273,-0.003438
0.166,0.005373
0.328,-0.003358
