Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.000941
0.433,0.002199
0.019,-0.003277
0.322,0.000974
0.332,-0.001552
0.056,-0.00054
0.301,-0.000669
0.229,-0.000981
0.331,-0.002485
0.132,-0.00418
0.137,-0.000329
0.423,0.00302
0.335,-0.00417
0.025,3.99e-05
0.464,-0.003739
0.281,-2.45e-05
0.247,-0.010669
0.237,-0.00074
0.117,-0.003388
0.042,0.00128
0.22,-0.005835
0.176,0.006178
0.32,-0.00058
0.153,-0.005253
0.231,-0.001843
0.227,-0.016516
0.417,0.019841
0.203,0.005083
0.126,0.005598
0.329,-0.008954
0.031,-0.00405
0.113,-0.000901
0.47,-0.002475
0.271,-0.000349
0.14,-0.001733
0.057,0.006742
0.192,-0.008793
0.024,0.000217
0.017,0.004309
0.265,-0.005985
0.066,0.001796
0.208,-0.013176
0.479,0.002698
0.094,-0.001161
0.253,-0.001813
0.266,-0.001241
0.023,-0.000782
0.222,-0.00059
0.261,0.007886
0.426,-0.002024
0.005,5.6e-05
0.116,0.013686
0.045,-0.000186
0.016,-0.003027
0.462,0.000408
0.357,0.008982
0.003,-0.00063
0.218,-0.000878
0.405,-0.002285
0.06,0.002215
0.11,-0.000492
0.318,0.008434
0.428,-0.00771
0.029,-0.000509
0.437,0.014266
0.471,-0.002014
0.026,-0.00072
0.007,-0.000298
0.453,0.008724
0.108,-0.001653
0.037,0.007709
0.157,0.005179
0.489,-0.005624
0.118,-0.001372
0.114,0.000282
0.175,0.004003
0.373,0.000974
0.181,0.003713
0.144,-0.000621
0.369,-0.00417
0.39,-0.008232
0.195,-0.001442
0.404,-0.000379
0.275,0.002118
0.454,-0.003067
0.141,0.000555
0.365,-0.005514
0.067,-0.006116
0.21,0.002134
0.168,-0.00083
0.493,-0.00065
0.375,0.014733
0.4,0.001941
0.272,-0.005053
0.109,-1.8e-05
0.248,0.004229
0.145,0.001232
0.092,-0.008482
0.152,-0.001211
0.367,0.001425
0.467,-0.009225
0.083,-0.003398
0.245,-0.003287
0.165,0.002134
0.163,0.001248
0.199,0.005663
0.228,-0.003648
0.074,-0.002706
0.478,0.000668
0.358,0.010399
0.25,-0.004471
0.119,0.011237
0.31,-0.001913
0.299,0.009707
0.255,0.002747
0.354,0.001667
0.399,0.001812
0.225,0.006646
0.353,0.003633
0.234,-0.000443
0.382,0.004487
0.274,0.002312
0.036,-0.001201
0.196,0.007725
0.139,0.021017
0.364,-0.008121
0.244,-0.000895
0.439,-0.003147
0.286,-0.003689
0.059,-0.002505
0.111,-0.008472
