Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.00581
0.433,-0.001117
0.019,0.001104
0.322,0.00025
0.332,-0.003875
0.056,0.002763
0.301,-0.003774
0.229,-0.004617
0.331,-0.006161
0.132,-0.001538
0.137,-0.00556
0.423,0.003246
0.335,0.00634
0.025,-0.004517
0.464,0.002586
0.281,-0.003875
0.247,0.001474
0.237,0.006565
0.117,0.001523
0.042,-0.002521
0.22,0.007306
0.176,0.011044
0.32,-0.010765
0.153,0.001635
0.231,0.000605
0.227,-0.003434
0.417,0.00228
0.203,0.000475
0.126,-0.008308
0.329,-0.002842
0.031,-0.002039
0.113,0.007983
0.47,0.002344
0.271,-0.001749
0.14,0.001571
0.057,-0.006883
0.192,-0.002902
0.024,-0.002631
0.017,0.007999
0.265,0.000201
0.066,0.006839
0.208,-0.003403
0.479,0.007645
0.094,0.005518
0.253,-0.001368
0.266,0.001474
0.023,0.001716
0.222,0.003891
0.261,-0.00222
0.426,-0.001478
0.005,-0.0021
0.116,0.007548
0.045,-0.003333
0.016,-0.011256
0.462,0.00381
0.357,0.005792
0.003,-0.001197
0.218,-0.004256
0.405,0.000314
0.06,0.000298
0.11,-0.001277
0.318,-0.001097
0.428,-0.003133
0.029,-0.004206
0.437,0.004406
0.471,-0.00226
0.026,0.010947
0.007,-0.004818
0.453,-0.007345
0.108,0.002538
0.037,-0.002591
0.157,0.00207
0.489,-0.004246
0.118,0.004584
0.114,0.006597
0.175,0.005035
0.373,-0.000859
0.181,0.002135
0.144,-0.001759
0.369,0.000459
0.39,0.001555
0.195,0.000459
0.404,0.000443
0.275,0.009836
0.454,-0.00231
0.141,-0.002019
0.365,0.004197
0.067,-0.002451
0.21,-0.005369
0.168,-0.00556
0.493,-0.001829
0.375,-0.001187
0.4,0.001329
0.272,0.001023
0.109,-0.00568
0.248,0.008531
0.145,-0.001929
0.092,-0.001608
0.152,-0.001979
0.367,-0.002401
0.467,-0.001739
0.083,-0.004677
0.245,0.004857
0.165,-0.001578
0.163,-0.00213
0.199,0.00381
0.228,0.003005
0.074,0.006501
0.478,0.003504
0.358,-0.001037
0.25,-0.003925
0.119,0.001313
0.31,0.000443
0.299,-0.00233
0.255,0.011463
0.354,-0.001578
0.399,1.94e-05
0.225,-0.001779
0.353,-0.001498
0.234,-0.001558
0.382,-0.002009
0.274,0.000459
0.036,-0.007957
0.196,0.005953
0.139,-0.001939
0.364,0.000605
0.244,-0.001528
0.439,0.00199
0.286,-0.001939
