Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.002862
0.433,-0.004336
0.019,0.004777
0.322,0.006871
0.332,-0.001909
0.056,0.004648
0.301,-0.003915
0.229,0.000312
0.331,-0.004567
0.132,-0.003373
0.137,0.004535
0.423,0.01127
0.335,-0.001187
0.025,-0.003484
0.464,0.003424
0.281,0.000117
0.247,-0.002892
0.237,0.003456
0.117,0.005599
0.042,0.000898
0.22,0.002376
0.176,0.002199
0.32,-0.001809
0.153,-0.002742
0.231,0.002231
0.227,-0.004035
0.417,-0.001538
0.203,0.002183
0.126,-0.002571
0.329,0.006001
0.031,-0.001287
0.113,-0.001388
0.47,-0.001769
0.271,-0.001488
0.14,0.007419
0.057,-0.002009
0.192,0.004068
0.024,-0.006222
0.017,-0.001538
0.265,-0.001167
0.066,0.007081
0.208,-0.003103
0.479,-0.001969
0.094,0.002344
0.253,0.001168
0.266,0.004874
0.023,-0.001709
0.222,0.001313
0.261,-0.003584
0.426,-0.003153
0.005,-0.005499
0.116,0.000926
0.045,0.000266
0.016,0.006984
0.462,0.006082
0.357,-0.001428
0.003,-0.00218
0.218,-0.004246
0.405,-0.001187
0.06,0.002956
0.11,-0.003584
0.318,0.015652
0.428,0.002231
0.029,-0.001528
0.437,0.001603
0.471,-0.00217
0.026,-0.003594
0.007,-0.003383
0.453,0.001603
0.108,-0.00205
0.037,-0.006392
0.157,0.0017
0.489,-0.001638
0.118,-0.004637
0.114,0.001587
0.175,-0.002601
0.373,0.012897
0.181,0.000105
0.144,0.001233
0.369,-0.00222
0.39,-0.006934
0.195,-0.00231
0.404,-0.001327
0.275,2.42e-05
0.454,0.001523
0.141,-0.001709
0.365,0.000427
0.067,0.000411
0.21,-0.001779
0.168,0.002103
0.493,0.003134
0.375,-0.005419
0.4,-0.001207
0.272,-0.002691
0.109,0.005518
0.248,-0.001939
0.145,-0.002982
0.092,-0.00209
0.152,2.42e-05
0.367,0.000491
0.467,-0.001618
0.083,0.002554
0.245,0.002763
0.165,0.002119
0.163,0.00178
0.199,-0.001017
0.228,-0.002701
0.074,0.000411
0.478,0.00062
0.358,0.003359
0.25,0.007258
0.119,-0.001307
0.31,-0.006442
0.299,0.006388
0.255,-0.002421
0.354,-0.001438
0.399,-0.003654
0.225,0.003085
0.353,0.002393
0.234,-0.001929
0.382,0.006501
0.274,-0.005379
0.036,0.002989
0.196,0.002538
0.139,0.000491
0.364,-0.006683
0.244,-0.001267
0.439,0.001442
0.286,-0.001668
0.059,0.005341
0.111,0.000137
0.089,-0.003504
0.436,-0.004797
0.006,-0.006512
0.36,0.009642
0.346,0.000153
0.338,-0.002992
0.158,0.003923
0.15,-0.007826
0.177,0.002135
0.393,-0.002441
0.184,-0.001969
0.449,0.000491
0.01,-0.003965
0.38,0.002763
0.103,0.000701
0.081,0.003456
0.038,0.006839
0.314,-0.00226
0.167,0.008257
0.469,0.001684
0.296,-0.00207
0.474,0.005599
0.198,0.003118
0.297,0.003359
0.416,-0.003293
0.146,-0.003785
0.392,-0.001227
0.147,-0.005891
0.447,0.003005
0.287,0.005212
0.123,-0.00223
0.368,0.00199
0.096,0.007274
0.143,0.001152
0.239,-0.001117
0.442,-0.002912
0.097,0.00642
0.407,0.002521
0.122,0.004986
0.183,0.003762
0.202,-0.004487
0.246,2.42e-05
0.305,0.000636
0.298,0.000121
0.351,0.000996
0.386,0.001796
0.395,-0.00228
0.284,0.002618
0.125,-0.00566
0.302,0.0186
0.223,0.00489
0.418,-0.001949
0.219,0.006517
0.129,-0.002892
0.42,0.003601
0.289,-0.003343
0.444,-0.00551
0.376,-0.001949
0.291,-0.00914
0.355,-0.003855
0.294,-0.001558
0.396,-0.003494
0.34,0.00729
0.112,-0.00215
0.179,0.005969
0.307,0.003101
0.432,-0.002421
0.487,0.001555
0.481,0.002344
0.422,0.00671
0.233,-0.005269
0.311,-0.00223
0.164,0.002634
0.136,0.004455
0.197,-0.003895
0.258,0.000314
0.232,0.003456
0.115,0.013863
0.12,0.004197
0.349,-0.00206
0.224,-0.003093
0.402,-0.002922
0.397,-0.001558
0.127,-0.003313
0.285,0.001233
0.411,-0.004136
0.107,-0.004587
0.37,0.005292
0.325,0.00257
0.133,0.001458
0.452,-0.004286
0.044,-0.001037
0.46,0.006114
0.065,-0.006783
0.283,-0.00218
0.085,-0.007004
0.242,0.00257
0.186,-0.003935
0.383,0.002473
0.159,-0.00233
0.012,-0.001869
0.035,0.002973
0.028,0.003069
0.17,0.002634
0.142,0.000524
0.398,0.000234
0.342,0.006565
0.221,-0.01265
0.095,0.00141
0.051,-0.001859
0.24,-0.006663
0.484,0.004729
0.378,-0.001007
0.178,-0.00236
0.041,0.00141
0.498,-0.003494
0.421,0.004519
0.206,-0.001688
0.282,0.000491
0.254,-0.001568
0.412,0.000491
0.004,0.001571
0.256,0.000669
0.448,0.001587
0.1,-0.003464
0.226,0.000185
0.429,-0.001598
0.213,-0.001087
0.171,-0.00233
0.098,-0.00214
0.292,-0.001578
0.215,-0.002401
0.061,-0.001067
0.047,-0.001358
0.032,-0.001337
0.267,-0.005098
0.327,0.001941
0.2,0.000959
0.446,0.000137
0.027,0.001668
0.424,0.008257
0.23,-0.005028
0.26,0.005051
0.288,-0.003273
0.162,0.002264
