Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.005941
0.433,0.005212
0.019,-0.002832
0.322,0.005824
0.332,-0.003393
0.056,-0.005399
0.301,-0.000469
0.229,0.003472
0.331,-0.006623
0.132,0.000749
0.137,-0.011066
0.423,-0.008618
0.335,0.004277
0.025,0.005711
0.464,-0.002701
0.281,-0.001157
0.247,0.00982
0.237,0.003069
0.117,0.0046
0.042,-0.00556
0.22,0.005824
0.176,-0.001287
0.32,-0.004868
0.153,-0.00218
0.231,0.014266
0.227,-0.00573
0.417,-0.002581
0.203,-0.002521
0.126,0.00062
0.329,0.006791
0.031,-0.002571
0.113,0.001651
0.47,0.004551
0.271,0.006436
0.14,-0.001027
0.057,0.00845
0.192,-0.004617
0.024,-0.001749
0.017,-0.001067
0.265,-0.002471
0.066,0.001281
0.208,-0.003042
0.479,-0.005339
0.094,0.002747
0.253,0.005196
0.266,0.005615
0.023,-0.001297
0.222,-0.003032
0.261,0.005695
0.426,0.000613
0.005,0.011737
0.116,-0.002591
0.045,0.004519
0.016,0.002731
0.462,0.015587
0.357,-0.004376
0.003,5.64e-05
0.218,0.004567
0.405,-0.001608
0.06,-0.00209
0.11,-0.001548
0.318,-0.005038
0.428,-0.003534
0.029,0.014379
0.437,0.004084
0.471,0.001619
0.026,0.004938
0.007,-0.00215
0.453,-0.005881
0.108,0.004906
0.037,-0.007285
0.157,-0.001137
0.489,0.004004
0.118,-0.003474
0.114,-0.001147
0.175,0.000717
0.373,0.00112
0.181,0.008257
0.144,-0.00206
0.369,0.003198
0.39,0.009594
0.195,0.003955
0.404,-0.001568
0.275,0.002393
0.454,0.003118
0.141,0.002811
0.365,-0.00233
0.067,-0.001337
0.21,0.000443
0.168,-0.00211
0.493,-0.001658
0.375,0.001088
0.4,-0.001137
0.272,-0.003835
0.109,0.005051
0.248,0.002989
0.145,0.002006
0.092,0.003762
0.152,0.00816
0.367,0.014556
0.467,0.003279
0.083,-0.001939
0.245,-0.001889
0.165,0.001071
0.163,-0.001237
0.199,0.003488
0.228,0.003536
0.074,0.001394
0.478,-0.003444
0.358,-0.009481
0.25,0.004922
0.119,0.018761
0.31,0.007484
0.299,0.001651
0.255,0.002151
0.354,0.00141
0.399,0.000975
0.225,-0.001859
0.353,-0.004737
0.234,0.000926
0.382,-0.008127
0.274,-0.001468
0.036,-0.005128
0.196,-0.003634
0.139,0.006678
0.364,-0.001187
0.244,-0.001678
0.439,-0.002601
0.286,0.002844
0.059,-0.005078
0.111,0.001877
0.089,0.004986
0.436,0.000733
0.006,-0.001317
0.36,-0.003032
0.346,0.000926
0.338,0.001603
0.158,-0.004968
0.15,-0.001347
0.177,-0.002631
0.393,-0.000859
0.184,0.001571
0.449,0.002393
0.01,0.002006
0.38,-0.003955
0.103,-0.001037
0.081,0.002924
0.038,0.009417
0.314,-0.001307
0.167,-0.00211
0.469,0.001619
0.296,0.000605
0.474,0.001893
0.198,-0.001999
0.297,-0.006011
0.416,0.002231
0.146,0.011157
0.392,0.002376
0.147,0.005002
0.447,0.00257
0.287,0.004181
0.123,-0.001057
0.368,0.006404
0.096,-0.001719
0.143,-0.003494
0.239,-0.007245
0.442,-0.010103
0.097,-0.003484
0.407,0.005212
0.122,0.000636
0.183,-0.004838
0.202,-0.003664
0.246,0.001506
0.305,-0.002471
0.298,-0.008277
0.351,0.009127
0.386,0.000588
0.395,0.000298
0.284,-0.00223
0.125,0.006066
0.302,0.001925
0.223,-0.002551
0.418,-0.005179
0.219,-0.00219
0.129,0.015007
0.42,-0.004567
0.289,0.000427
0.444,-0.001869
0.376,0.003101
0.291,0.014943
0.355,0.000411
0.294,0.000636
0.396,-0.001528
0.34,-0.002521
0.112,-0.002521
0.179,-0.006964
0.307,0.01425
0.432,0.013912
0.487,0.01019
0.481,0.008241
0.422,0.00497
0.233,0.002441
0.311,-0.004035
0.164,-0.002842
0.136,-0.002802
