Time - Voltage_1,Amplitude - Voltage_1
0.249,0.006146
0.433,0.002167
0.019,-0.003815
0.322,-0.002922
0.332,0.001732
0.056,-0.003985
0.301,-0.00573
0.229,0.004439
0.331,0.007226
0.132,0.003826
0.137,0.003826
0.423,-0.00218
0.335,0.004036
0.025,0.010367
0.464,0.001506
0.281,-0.002862
0.247,0.011479
0.237,-0.005951
0.117,-0.009692
0.042,-0.002892
0.22,-0.003564
0.176,-0.001929
0.32,-0.003383
0.153,0.002103
0.231,0.002989
0.227,-0.004497
0.417,-0.003052
0.203,-0.002852
0.126,-0.001548
0.329,-0.004356
0.031,0.001088
0.113,0.001345
0.47,-0.001478
0.271,0.003166
0.14,0.00025
0.057,0.001345
0.192,0.002054
0.024,-0.001418
0.017,1.94e-05
0.265,0.008837
0.066,-0.006914
0.208,0.010045
0.479,-0.000566
0.094,0.004874
0.253,0.002554
0.266,0.006372
0.023,0.000215
0.222,-0.003012
0.261,-0.006613
0.426,-0.00226
0.005,0.013122
0.116,0.004954
0.045,0.004632
0.016,0.001506
0.462,-0.001227
0.357,-0.005088
0.003,-0.001588
0.218,-0.006161
0.405,0.005019
0.06,-0.004446
0.11,0.004004
0.318,0.002505
0.428,0.005727
0.029,0.013122
0.437,-0.002731
0.471,0.009884
0.026,-0.002521
0.007,0.003569
0.453,0.000894
0.108,0.000669
0.037,0.004374
0.157,-0.003955
0.489,-0.002942
0.118,-0.005189
0.114,0.000926
0.175,-0.004918
0.373,0.002763
0.181,-0.005469
0.144,0.001474
0.369,-0.001277
0.39,-0.003123
0.195,-0.001358
0.404,-0.00235
0.275,-0.00224
0.454,0.001313
0.141,-0.001959
0.365,-0.001949
0.067,0.006372
0.21,0.00808
0.168,-0.001528
0.493,0.001829
0.375,0.009868
0.4,-0.003213
0.272,0.00373
0.109,-0.002882
0.248,0.010577
0.145,0.002231
0.092,0.000395
0.152,0.000137
0.367,-0.002611
0.467,0.004729
0.083,-0.00224
0.245,0.0041
0.165,0.005921
0.163,-0.001809
0.199,-0.001197
0.228,0.003375
0.074,0.001861
0.478,-0.005118
0.358,-0.004376
0.25,-0.004567
0.119,0.002441
0.31,0.000443
0.299,0.001748
0.255,-0.004296
0.354,-7.82e-05
0.399,-0.001779
0.225,-0.001628
0.353,0.002554
0.234,0.003343
0.382,-0.002982
0.274,-0.001949
0.036,-0.007746
0.196,-0.003734
0.139,-0.00561
0.364,0.001071
0.244,-0.000762
0.439,0.000685
0.286,0.007049
0.059,0.001555
0.111,0.002908
0.089,-0.001508
0.436,-0.001889
0.006,0.006066
0.36,-0.006974
0.346,0.006436
0.338,-0.006272
0.158,0.000996
0.15,-0.004075
0.177,0.004809
0.393,0.001684
0.184,-0.000176
0.449,-0.003975
0.01,-0.00227
0.38,5.64e-05
0.103,2.42e-05
0.081,-0.004828
0.038,0.001152
0.314,0.001861
0.167,-0.003163
0.469,0.002103
0.296,0.000312
0.474,-0.00224
0.198,0.003391
0.297,-0.005449
0.416,0.000312
0.146,0.008337
0.392,0.001361
0.147,0.009481
0.447,-0.003815
0.287,0.009272
0.123,-0.001769
0.368,0.002731
0.096,0.001619
0.143,-0.002491
0.239,0.002844
0.442,-0.001889
0.097,0.006485
0.407,0.015458
0.122,-0.003243
0.183,-0.001799
0.202,-0.001347
0.246,0.002586
0.305,0.012027
0.298,-0.006181
0.351,0.000991
0.386,0.007387
0.395,0.00236
0.284,-0.000176
0.125,0.002344
0.302,-0.001919
0.223,-0.001578
0.418,0.007967
0.219,0.003971
0.129,-0.001287
0.42,-0.003243
0.289,-0.004366
0.444,-0.001638
0.376,-0.003694
0.291,-0.001358
0.355,-0.003022
0.294,0.00431
0.396,-0.001638
0.34,0.002666
0.112,0.001748
0.179,-0.004386
0.307,-0.00208
0.432,-0.001167
0.487,-0.00574
0.481,-0.00557
0.422,-0.001699
0.233,-0.001378
0.311,0.004632
0.164,-0.00222
0.136,-0.00217
0.197,0.015684
0.258,-0.003464
0.232,0.001458
0.115,0.000282
0.12,0.000508
0.349,0.010545
0.224,0.001071
0.402,-0.004115
0.397,-0.008147
0.127,-0.001207
0.285,0.008789
0.411,-0.001247
0.107,-0.006031
0.37,0.00199
0.325,0.006855
0.133,-0.000469
0.452,-0.001999
0.044,0.002296
0.46,0.000105
0.065,-0.002772
0.283,-0.002631
0.085,0.010931
0.242,-0.002772
0.186,0.00555
0.383,-0.001889
0.159,-0.007054
0.012,0.000204
0.035,0.00141
0.028,0.003859
0.17,0.008337
0.142,0.00083
0.398,0.0046
0.342,0.003859
0.221,-0.005239
0.095,-0.007214
0.051,0.001764
0.24,-0.0023
0.484,0.002312
0.378,0.000556
0.178,-0.004557
0.041,-0.003464
0.498,0.007306
0.421,-0.006332
0.206,0.009127
0.282,-0.0023
0.254,0.002103
0.412,0.004874
0.004,0.000298
0.256,0.001539
0.448,-0.001257
