Time - Voltage_1,Amplitude - Voltage_1
0.249,-0.002742
0.433,0.001329
0.019,-0.003173
0.322,0.004261
0.332,0.009659
0.056,0.000862
0.301,-0.004838
0.229,0.004696
0.331,0.001071
0.132,-0.002401
0.137,-0.004888
0.423,-0.003594
0.335,0.001458
0.025,-0.002972
0.464,-0.00219
0.281,-0.006623
0.247,0.001829
0.237,-0.003554
0.117,0.008466
0.042,-0.004115
0.22,-0.004727
0.176,0.003649
0.32,0.005212
0.153,-0.001157
0.231,0.00642
0.227,0.01744
0.417,0.004149
0.203,-0.003403
0.126,0.001216
0.329,-0.003975
0.031,0.004036
0.113,0.010045
0.47,0.005405
0.271,0.004551
0.14,-0.00213
0.057,-0.00561
0.192,0.001152
0.024,-0.001017
0.017,0.000862
0.265,-0.0023
0.066,0.000314
0.208,0.004229
0.479,0.000524
0.094,0.000459
0.253,0.007371
0.266,0.003214
0.023,-0.005911
0.222,-0.003544
0.261,-0.001969
0.426,0.000701
0.005,-0.001257
0.116,0.001313
0.045,-0.00221
0.016,0.00547
0.462,-0.002752
0.357,-0.003052
0.003,-0.002912
0.218,0.00141
0.405,-0.003153
0.06,-0.002832
0.11,-0.004406
0.318,0.000475
0.428,0.004825
0.029,0.00982
0.437,0.003021
0.471,-0.002561
0.026,0.0041
0.007,0.006162
0.453,0.009304
0.108,0.003424
0.037,2.42e-05
0.157,-0.001157
0.489,-0.001699
0.118,0.000282
0.114,-0.002681
0.175,0.002103
0.373,-0.003594
0.181,-0.003343
0.144,-0.001498
0.369,-0.001668
0.39,-0.004737
0.195,0.003971
0.404,-0.001287
0.275,0.00518
0.454,0.000781
0.141,-0.001558
0.365,-0.00216
0.067,0.007177
0.21,0.004197
0.168,0.009256
0.493,0.003826
0.375,0.000878
0.4,0.005518
0.272,0.006324
0.109,0.007081
0.248,0.012655
0.145,-0.001658
0.092,-0.001909
0.152,0.007145
0.367,0.005115
0.467,0.013702
0.083,-0.006131
0.245,-0.001949
0.165,-0.00238
0.163,-0.00225
0.199,-0.006883
0.228,0.002199
0.074,0.002586
0.478,-0.001508
0.358,-0.007616
0.25,0.004664
0.119,-0.002822
0.31,0.000153
0.299,0.002264
0.255,0.001748
0.354,-0.002812
0.399,0.011608
0.225,-0.001709
0.353,0.002086
0.234,0.000894
0.382,-0.001588
0.274,-0.005108
0.036,0.006162
0.196,5.64e-05
0.139,0.001329
0.364,0.000105
0.244,-0.001047
0.439,-0.008438
0.286,0.000204
0.059,-0.00905
0.111,-0.006914
0.089,0.008998
0.436,0.001555
0.006,1.94e-05
0.36,-0.006663
0.346,0.001216
0.338,-0.00571
0.158,-0.003524
0.15,0.001039
0.177,0.003681
0.393,0.00402
0.184,-0.002742
0.449,0.006001
0.01,-0.001799
0.38,0.006001
0.103,0.000898
0.081,-0.003955
0.038,-0.004547
0.314,-0.002611
0.167,0.007951
0.469,-0.002932
0.296,-0.001017
0.474,-0.001839
0.198,-0.003434
0.297,-0.00574
0.416,0.005292
0.146,0.000926
0.392,0.00816
0.147,0.004181
0.447,0.004197
0.287,0.002634
0.123,2.42e-05
0.368,0.007838
0.096,0.001216
0.143,-0.004497
0.239,0.00178
0.442,-0.006191
0.097,0.001071
0.407,0.00352
0.122,0.000846
0.183,-0.004918
0.202,-0.00237
0.246,0.002634
0.305,-0.00216
0.298,0.000926
0.351,0.002296
0.386,-0.000371
0.395,0.003504
0.284,-0.000762
0.125,-0.001287
0.302,-0.003604
0.223,-0.002701
0.418,-0.001699
0.219,0.013445
0.129,0.002779
0.42,-0.004898
0.289,-0.001167
0.444,0.001265
0.376,0.005115
0.291,0.004954
0.355,0.002892
0.294,0.000653
0.396,0.003472
0.34,-0.001558
0.112,-0.008949
0.179,0.001104
0.307,0.009481
0.432,0.003408
0.487,0.005953
0.481,-0.003724
0.422,0.00178
0.233,-0.001989
0.311,0.006436
0.164,-0.002832
0.136,0.004439
0.197,-0.0056
0.258,-0.001648
0.232,0.001007
0.115,0.003681
0.12,-0.003604
0.349,0.003939
0.224,-0.004226
0.402,-0.003835
0.397,-0.004426
0.127,0.008627
0.285,-0.002651
0.411,-0.001919
0.107,0.007177
0.37,-0.003413
0.325,-0.001678
0.133,0.001265
0.452,0.001796
0.044,0.000636
0.46,-0.006161
0.065,0.000201
0.283,-0.00564
0.085,-0.001799
0.242,-0.006382
0.186,0.001829
0.383,-0.002511
0.159,0.004729
0.012,-0.001147
0.035,-0.001598
0.028,0.004809
0.17,-0.002431
0.142,-0.003363
0.398,-0.004306
0.342,0.000798
0.221,-0.007706
0.095,0.00294
0.051,-0.001458
0.24,-0.005911
0.484,-0.002671
0.378,-0.003955
0.178,-0.002441
0.041,0.001184
0.498,-0.003855
0.421,0.006114
0.206,0.002634
0.282,-0.001017
0.254,0.000669
0.412,0.00381
0.004,-0.001799
0.256,0.002151
0.448,0.005808
0.1,-0.001017
0.226,0.001104
0.429,0.013799
0.213,-0.002862
0.171,0.014057
0.098,0.005228
0.292,-0.001337
0.215,0.000427
0.061,-0.00233
0.047,0.004342
0.032,0.001055
0.267,0.014975
0.327,0.01591
0.2,-0.003243
0.446,0.002666
0.027,0.012043
0.424,-0.003113
0.23,0.004712
0.26,0.008015
0.288,0.004294
0.162,0.007322
0.425,-0.00234
0.138,0.008724
0.062,-0.001087
0.135,0.00083
0.128,-0.002401
0.476,-0.001688
0.008,-0.004286
0.326,0.000363
0.463,0.00149
0.064,-0.002762
0.3,0.003408
0.014,0.000379
0.156,0.001265
0.04,-0.004557
0.379,0.001442
0.468,0.0099
0.403,-0.006583
0.216,0.001088
0.279,0.003971
0.434,-0.001017
0.43,0.005615
0.337,0.002312
0.236,0.002199
0.207,0.013541
0.212,-0.003754
0.295,0.000604
0.457,-0.003474
0.251,0.00961
0.488,-0.004717
0.486,-0.002752
0.303,-0.001177
0.35,-0.007425
0.269,0.00041
0.201,-0.008849
0.161,0.010126
0.043,-0.003273
0.217,-0.007194
0.401,-0.001087
0.19,0.004503
0.309,-0.00232
0.259,-0.00924
0.105,-0.0023
0.053,0.000282
0.389,0.009481
0.001,-0.006312
0.441,0.000475
0.482,-0.003774
0.049,0.004857
0.419,-0.001899
0.08,0.000959
0.205,-0.003554
0.034,0.003569
0.263,-0.001598
0.427,0.012655
0.366,0.000765
0.091,0.002215
0.339,0.000312
0.473,-0.001889
0.052,0.002554
0.345,-0.003193
0.264,-0.001709
0.241,-0.001187
0.013,-0.00226
0.315,0.003263
0.088,0.012446
0.387,-0.001458
0.273,0.005196
0.166,0.003456
0.328,0.003295
0.492,0.001506
0.134,0.001442
0.306,0.000411
0.48,-0.007375
0.319,0.000201
0.243,-0.004607
0.054,0.000475
0.363,-0.004918
0.05,0.001925
0.456,0.003279
0.174,0.000814
0.445,-0.002641
0.189,0.012542
0.496,0.002876
0.187,0.014476
0.169,0.002715
0.058,-0.003303
0.048,0.013026
0.344,-0.001638
0.235,0.002376
0.252,0.000508
0.021,-0.003082
0.313,0.003665
0.459,0.007
0.16,-0.002812
0.276,-0.003333
0.443,-0.004938
0.191,0.002086
0.385,-0.001608
0.293,0.000312
0.413,-0.001438
0.343,-0.006663
0.257,-0.005409
0.308,0.009336
0.149,0.006436
0.13,0.010045
0.151,0.004116
0.359,0.003359
0.099,-0.001057
0.372,0.005131
0.087,0.011527
0.458,0.0041
0.33,0.005099
0.214,0.002634
0.466,-0.001077
0.121,-0.003875
0.499,0.00497
0.02,0.003859
0.188,0.000508
0.071,0.001555
0.106,0.005067
0.27,0.013638
0.348,0.005872
0.435,0.000814
0.102,0.00083
